Unnamed: 0,DateTime,Date,Time,Temperature(°C)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,27.0
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,25.9
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,25.8
3.0,09 Aug 17:29,09 Aug 2021,17:29:51,25.7
4.0,09 Aug 18:30,09 Aug 2021,18:30:16,25.6
5.0,09 Aug 19:30,09 Aug 2021,19:30:40,25.5
6.0,10 Aug 00:49,10 Aug 2021,00:49:39,25.1
7.0,10 Aug 08:24,10 Aug 2021,08:24:01,24.7
8.0,10 Aug 10:27,10 Aug 2021,10:27:28,24.9
9.0,10 Aug 19:26,10 Aug 2021,19:26:33,25.9
10.0,10 Aug 20:27,10 Aug 2021,20:27:03,25.8
11.0,10 Aug 21:30,10 Aug 2021,21:30:23,25.6
12.0,11 Aug 08:47,11 Aug 2021,08:47:06,24.9
13.0,11 Aug 10:20,11 Aug 2021,10:20:04,25.0
14.0,11 Aug 12:13,11 Aug 2021,12:13:36,25.5
15.0,11 Aug 16:56,11 Aug 2021,16:56:21,26.2
16.0,11 Aug 18:00,11 Aug 2021,18:00:02,26.3
17.0,12 Aug 10:59,12 Aug 2021,10:59:37,26.1
18.0,12 Aug 12:14,12 Aug 2021,12:14:31,26.4
19.0,16 Aug 10:05,16 Aug 2021,10:05:25,27.8
20.0,16 Aug 11:06,16 Aug 2021,11:06:03,28.1
21.0,16 Aug 15:15,16 Aug 2021,15:15:28,28.9
22.0,16 Aug 16:15,16 Aug 2021,16:15:54,29.0
23.0,16 Aug 17:19,16 Aug 2021,17:19:32,29.1
24.0,16 Aug 18:19,16 Aug 2021,18:19:53,29.2
25.0,16 Aug 23:18,16 Aug 2021,23:18:09,28.9
26.0,19 Aug 21:09,19 Aug 2021,21:09:25,29.3
27.0,23 Aug 15:16,23 Aug 2021,15:16:38,28.0
28.0,28 Aug 10:21,28 Aug 2021,10:21:18,27.0
,03 Sep 02:17,03 Sep 2021,02:17:33,25.3
,10 Sep 17:38,10 Sep 2021,17:38:26,27.3
,12 Sep 16:50,12 Sep 2021,16:50:46,26.9
,12 Sep 17:30,12 Sep 2021,17:30:03,26.7
,12 Sep 18:40,12 Sep 2021,18:40:42,26.6
,12 Sep 21:12,12 Sep 2021,21:12:54,26.3
