Unnamed: 0,DateTime,Date,Time,Potassium(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,3.9
1.0,09 Aug 12:57,09 Aug 2021,12:57:04,4.0
2.0,09 Aug 17:29,09 Aug 2021,17:29:51,4.1
3.0,10 Aug 00:49,10 Aug 2021,00:49:39,4.0
4.0,10 Aug 08:24,10 Aug 2021,08:24:01,3.9
5.0,10 Aug 19:26,10 Aug 2021,19:26:33,4.5
6.0,11 Aug 08:47,11 Aug 2021,08:47:06,4.4
7.0,11 Aug 12:13,11 Aug 2021,12:13:36,4.5
8.0,12 Aug 10:59,12 Aug 2021,10:59:37,4.3
9.0,16 Aug 11:06,16 Aug 2021,11:06:03,4.2
10.0,16 Aug 15:15,16 Aug 2021,15:15:28,4.4
11.0,16 Aug 17:19,16 Aug 2021,17:19:32,4.5
12.0,19 Aug 21:09,19 Aug 2021,21:09:25,3.4
13.0,23 Aug 15:16,23 Aug 2021,15:16:38,3.5
14.0,23 Aug 18:03,23 Aug 2021,18:03:46,3.6
15.0,28 Aug 10:21,28 Aug 2021,10:21:18,3.4
16.0,28 Aug 11:35,28 Aug 2021,11:35:06,3.5
17.0,28 Aug 12:45,28 Aug 2021,12:45:39,3.4
18.0,28 Aug 15:26,28 Aug 2021,15:26:51,3.5
19.0,28 Aug 19:18,28 Aug 2021,19:18:38,3.6
,03 Sep 02:17,03 Sep 2021,02:17:33,3.5
,10 Sep 17:38,10 Sep 2021,17:38:26,3.9
,10 Sep 23:30,10 Sep 2021,23:30:16,4.0
,12 Sep 17:30,12 Sep 2021,17:30:03,4.1
