Unnamed: 0,DateTime,Date,Time,"Color(Pt.Scale,Hz units)"
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,89.78
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,87.08
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,86.88
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,87.73
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,87.85
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,88.15
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,88.29
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,87.91
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,88.19
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,87.61
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,86.2
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,86.15
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,86.36
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,87.71
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,88.02
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,87.66
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,86.68
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,86.13
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,86.51
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,86.11
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,86.41
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,86.1
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,86.35
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,88.9
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,88.47
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,93.53
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,94.36
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,94.29
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,92.46
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,91.39
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,87.23
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,80.18
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,78.27
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,82.55
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,78.18
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,57.29
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,57.83
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,58.54
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,64.97
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,66.21
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,62.66
,03 Sep 02:17,03 Sep 2021,02:17:33,60.73
,03 09 10:54,03 Sep 2021,10:54:46,60.24
,10 Sep 17:38,10 Sep 2021,17:38:26,101.29
,10 Sep 23:30,10 Sep 2021,23:30:16,111.13
,12 Sep 17:30,12 Sep 2021,17:30:03,129.59
,12 Sep 22:00,12 Sep 2021,22:00:04,146.61
