Unnamed: 0,DateTime,Date,Time,Floride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.06
1.0,09 Aug 13:57,09 Aug 2021,13:57:19,0.05
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.03
3.0,09 Aug 17:29,09 Aug 2021,17:29:51,0.04
4.0,09 Aug 18:30,09 Aug 2021,18:30:16,0.03
5.0,09 Aug 19:30,09 Aug 2021,19:30:40,0.05
6.0,10 Aug 00:49,10 Aug 2021,00:49:39,0.06
7.0,10 Aug 08:24,10 Aug 2021,08:24:01,0.02
8.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.01
9.0,12 Aug 10:59,12 Aug 2021,10:59:37,0.07
10.0,16 Aug 10:05,16 Aug 2021,10:05:25,0.06
11.0,16 Aug 17:19,16 Aug 2021,17:19:32,0.05
12.0,19 Aug 21:09,19 Aug 2021,21:09:25,0.06
,23 Aug 15:16,23 Aug 2021,15:16:38,0.09
,10 Sep 17:38,10 Sep 2021,17:38:26,0.07
,12 Sep 17:30,12 Sep 2021,17:30:03,0.1
,12 Sep 22:53,12 Sep 2021,22:53:57,0.11
