Unnamed: 0,DateTime,Date,Time,Potassium(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,2.9
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,7.8
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,1.7
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,2.8
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,4.1
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,4.7
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,4.4
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,4.7
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,4.4
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,3.2
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,4.4
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,3.9
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,5.8
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,4.2
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,3.9
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,4.1
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,6.1
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,4.1
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,3.8
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,3.9
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,3.4
21.0,16 Aug 10:05,16 Aug 2021,10:05:25,2.3
22.0,16 Aug 15:15,16 Aug 2021,15:15:28,0.9
23.0,16 Aug 16:15,16 Aug 2021,16:15:54,0.5
24.0,16 Aug 17:19,16 Aug 2021,17:19:32,1.9
25.0,16 Aug 18:19,16 Aug 2021,18:19:53,2.1
26.0,16 Aug 19:20,16 Aug 2021,19:20:17,2.2
27.0,19 Aug 21:09,19 Aug 2021,21:09:25,1.8
28.0,19 Aug 22:09,19 Aug 2021,22:09:52,2.1
29.0,23 Aug 15:16,23 Aug 2021,15:16:38,2.9
30.0,23 Aug 18:03,23 Aug 2021,18:03:46,2.8
31.0,28 Aug 10:21,28 Aug 2021,10:21:18,2.3
32.0,28 Aug 11:35,28 Aug 2021,11:35:06,2.2
33.0,28 Aug 12:45,28 Aug 2021,12:45:39,1.9
34.0,28 Aug 15:26,28 Aug 2021,15:26:51,2.0
35.0,28 Aug 18:00,28 Aug 2021,18:00:08,2.4
,03 Sep 02:17,03 Sep 2021,02:17:33,2.7
,03 09 10:54,03 Sep 2021,10:54:46,2.6
,10 Sep 17:38,10 Sep 2021,17:38:26,3.2
,10 Sep 23:30,10 Sep 2021,23:30:16,3.0
,12 Sep 18:42,12 Sep 2021,18:42:45,3.5
,12 Sep 22:00,12 Sep 2021,22:00:04,3.7
