Unnamed: 0,DateTime,Date,Time,"Color(Pt.Scale,Hz units)"
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,172.66
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,190.92
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,194.57
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,187.65
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,191.11
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,186.05
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,188.16
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,182.55
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,180.11
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,185.97
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,212.54
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,224.35
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,229.46
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,188.58
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,186.59
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,201.83
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,207.78
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,219.1
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,225.84
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,279.55
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,293.94
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,299.87
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,293.05
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,134.14
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,125.85
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,111.95
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,110.28
27.0,16 Aug 18:19,16 Aug 2021,18:19:53,100.81
28.0,16 Aug 23:18,16 Aug 2021,23:18:09,89.66
29.0,19 Aug 21:09,19 Aug 2021,21:09:25,52.41
30.0,23 Aug 15:16,23 Aug 2021,15:16:38,136.36
31.0,23 Aug 18:03,23 Aug 2021,18:03:46,111.61
32.0,28 Aug 10:21,28 Aug 2021,10:21:18,496.39
33.0,28 Aug 11:35,28 Aug 2021,11:35:06,496.9
34.0,28 Aug 15:26,28 Aug 2021,15:26:51,493.67
35.0,28 Aug 18:00,28 Aug 2021,18:00:08,492.51
36.0,28 Aug 19:18,28 Aug 2021,19:18:38,491.17
,03 Sep 02:17,03 Sep 2021,02:17:33,470.6
,03 09 10:54,03 Sep 2021,10:54:46,468.52
,10 Sep 17:38,10 Sep 2021,17:38:26,58.6
,10 Sep 23:30,10 Sep 2021,23:30:16,53.26
,12 Sep 17:30,12 Sep 2021,17:30:03,45.22
,12 Sep 18:42,12 Sep 2021,18:42:45,0.0
