Unnamed: 0,DateTime,Date,Time,TOC(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,5.4
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,6.15
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,6.0
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,5.94
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,5.95
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,5.96
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,5.83
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,6.05
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,6.24
9.0,10 Aug 19:26,10 Aug 2021,19:26:33,6.09
10.0,10 Aug 20:27,10 Aug 2021,20:27:03,6.18
11.0,10 Aug 21:30,10 Aug 2021,21:30:23,6.25
12.0,11 Aug 08:47,11 Aug 2021,08:47:06,8.17
13.0,11 Aug 10:20,11 Aug 2021,10:20:04,7.13
14.0,11 Aug 12:13,11 Aug 2021,12:13:36,6.7
15.0,11 Aug 16:56,11 Aug 2021,16:56:21,6.61
16.0,11 Aug 18:00,11 Aug 2021,18:00:02,6.68
17.0,12 Aug 10:59,12 Aug 2021,10:59:37,6.95
18.0,12 Aug 12:14,12 Aug 2021,12:14:31,6.63
19.0,16 Aug 10:05,16 Aug 2021,10:05:25,5.62
20.0,16 Aug 11:06,16 Aug 2021,11:06:03,5.76
21.0,16 Aug 15:15,16 Aug 2021,15:15:28,5.57
22.0,16 Aug 16:15,16 Aug 2021,16:15:54,5.56
23.0,16 Aug 17:19,16 Aug 2021,17:19:32,5.52
24.0,16 Aug 18:19,16 Aug 2021,18:19:53,5.5
25.0,16 Aug 19:20,16 Aug 2021,19:20:17,5.52
26.0,16 Aug 23:18,16 Aug 2021,23:18:09,5.42
27.0,19 Aug 21:09,19 Aug 2021,21:09:25,5.23
28.0,19 Aug 22:09,19 Aug 2021,22:09:52,5.22
29.0,23 Aug 15:16,23 Aug 2021,15:16:38,4.09
30.0,23 Aug 18:03,23 Aug 2021,18:03:46,4.08
31.0,28 Aug 10:21,28 Aug 2021,10:21:18,3.71
32.0,28 Aug 11:35,28 Aug 2021,11:35:06,3.68
33.0,28 Aug 12:45,28 Aug 2021,12:45:39,3.63
34.0,28 Aug 15:26,28 Aug 2021,15:26:51,3.69
35.0,28 Aug 18:00,28 Aug 2021,18:00:08,3.72
36.0,28 Aug 19:18,28 Aug 2021,19:18:38,3.68
,03 Sep 02:17,03 Sep 2021,02:17:33,7.77
,03 09 10:54,03 Sep 2021,10:54:46,10.95
,10 Sep 17:38,10 Sep 2021,17:38:26,4.4
,10 Sep 23:30,10 Sep 2021,23:30:16,4.39
,12 Sep 18:42,12 Sep 2021,18:42:45,4.19
,12 Sep 22:00,12 Sep 2021,22:00:04,4.21
,12 Sep 22:53,12 Sep 2021,22:53:57,4.22
