Unnamed: 0,DateTime,Date,Time,Temperature(°C)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,29.1
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,28.7
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,29.2
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,29.4
4.0,09 Aug 18:30,09 Aug 2021,18:30:16,29.5
5.0,09 Aug 19:30,09 Aug 2021,19:30:40,29.9
6.0,10 Aug 00:49,10 Aug 2021,00:49:39,29.5
7.0,10 Aug 08:24,10 Aug 2021,08:24:01,29.1
8.0,10 Aug 10:27,10 Aug 2021,10:27:28,29.2
9.0,10 Aug 19:26,10 Aug 2021,19:26:33,29.8
10.0,10 Aug 20:27,10 Aug 2021,20:27:03,29.7
11.0,10 Aug 21:30,10 Aug 2021,21:30:23,29.3
12.0,11 Aug 08:47,11 Aug 2021,08:47:06,29.0
13.0,11 Aug 10:20,11 Aug 2021,10:20:04,29.2
14.0,11 Aug 12:13,11 Aug 2021,12:13:36,29.4
15.0,11 Aug 16:56,11 Aug 2021,16:56:21,29.8
16.0,12 Aug 10:59,12 Aug 2021,10:59:37,28.3
17.0,12 Aug 12:14,12 Aug 2021,12:14:31,29.2
18.0,16 Aug 10:05,16 Aug 2021,10:05:25,28.5
19.0,16 Aug 15:15,16 Aug 2021,15:15:28,30.0
20.0,16 Aug 17:19,16 Aug 2021,17:19:32,29.8
21.0,16 Aug 23:18,16 Aug 2021,23:18:09,30.3
22.0,19 Aug 21:09,19 Aug 2021,21:09:25,30.0
23.0,19 Aug 22:09,19 Aug 2021,22:09:52,29.1
24.0,23 Aug 15:16,23 Aug 2021,15:16:38,29.9
25.0,23 Aug 18:03,23 Aug 2021,18:03:46,29.2
26.0,28 Aug 10:21,28 Aug 2021,10:21:18,28.7
27.0,28 Aug 11:35,28 Aug 2021,11:35:06,28.8
28.0,28 Aug 12:45,28 Aug 2021,12:45:39,28.7
29.0,28 Aug 15:26,28 Aug 2021,15:26:51,28.8
30.0,28 Aug 18:00,28 Aug 2021,18:00:08,29.0
31.0,28 Aug 19:18,28 Aug 2021,19:18:38,29.2
,03 Sep 02:17,03 Sep 2021,02:17:33,29.1
,03 09 10:54,03 Sep 2021,10:54:46,28.9
,10 Sep 17:38,10 Sep 2021,17:38:26,29.8
,10 Sep 23:30,10 Sep 2021,23:30:16,29.9
,12 Sep 17:30,12 Sep 2021,17:30:03,30.0
,12 Sep 18:42,12 Sep 2021,18:42:45,30.1
,12 Sep 21:12,12 Sep 2021,21:12:54,0.0
,12 Sep 22:53,12 Sep 2021,22:53:57,30.2
