Unnamed: 0,DateTime,Date,Time,Floride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.22
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.21
2.0,10 Aug 08:24,10 Aug 2021,08:24:01,0.2
3.0,10 Aug 09:26,10 Aug 2021,09:26:56,0.22
4.0,10 Aug 10:27,10 Aug 2021,10:27:28,0.21
5.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.2
6.0,11 Aug 08:47,11 Aug 2021,08:47:06,0.19
7.0,11 Aug 10:20,11 Aug 2021,10:20:04,0.18
8.0,16 Aug 10:05,16 Aug 2021,10:05:25,0.19
9.0,16 Aug 11:06,16 Aug 2021,11:06:03,0.18
10.0,19 Aug 21:09,19 Aug 2021,21:09:25,0.16
11.0,23 Aug 15:16,23 Aug 2021,15:16:38,0.17
12.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.12
13.0,28 Aug 11:35,28 Aug 2021,11:35:06,0.14
14.0,28 Aug 15:26,28 Aug 2021,15:26:51,0.13
15.0,28 Aug 19:18,28 Aug 2021,19:18:38,0.12
,03 Sep 02:17,03 Sep 2021,02:17:33,0.13
,10 Sep 17:38,10 Sep 2021,17:38:26,0.2
,10 Sep 23:30,10 Sep 2021,23:30:16,0.19
,12 Sep 17:30,12 Sep 2021,17:30:03,0.18
,12 Sep 21:12,12 Sep 2021,21:12:54,0.17
