Unnamed: 0,DateTime,Date,Time,DO(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,12.76
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,6.14
2.0,10 Aug 19:26,10 Aug 2021,19:26:33,14.87
3.0,16 Aug 10:05,16 Aug 2021,10:05:25,11.21
4.0,16 Aug 19:20,16 Aug 2021,19:20:17,10.31
5.0,19 Aug 21:09,19 Aug 2021,21:09:25,13.25
6.0,28 Aug 10:21,28 Aug 2021,10:21:18,15.14
7.0,28 Aug 18:00,28 Aug 2021,18:00:08,8.32
,03 Sep 02:17,03 Sep 2021,02:17:33,6.24
,03 09 10:54,03 Sep 2021,10:54:46,4.61
,10 Sep 17:38,10 Sep 2021,17:38:26,11.68
,10 Sep 23:30,10 Sep 2021,23:30:16,8.58
,12 Sep 16:50,12 Sep 2021,16:50:46,8.95
,12 Sep 17:30,12 Sep 2021,17:30:03,12.56
,12 Sep 21:12,12 Sep 2021,21:12:54,11.7
,12 Sep 22:53,12 Sep 2021,22:53:57,10.28
