Unnamed: 0,DateTime,Date,Time,Temperature(°C)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,27.2
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,27.3
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,26.4
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,26.3
4.0,09 Aug 19:30,09 Aug 2021,19:30:40,26.2
5.0,10 Aug 00:49,10 Aug 2021,00:49:39,26.1
6.0,10 Aug 08:24,10 Aug 2021,08:24:01,25.6
7.0,10 Aug 09:26,10 Aug 2021,09:26:56,0.0
8.0,10 Aug 10:27,10 Aug 2021,10:27:28,25.7
9.0,10 Aug 19:26,10 Aug 2021,19:26:33,27.4
10.0,10 Aug 21:30,10 Aug 2021,21:30:23,27.3
11.0,11 Aug 08:47,11 Aug 2021,08:47:06,26.1
12.0,11 Aug 12:13,11 Aug 2021,12:13:36,26.5
13.0,11 Aug 16:56,11 Aug 2021,16:56:21,27.0
14.0,11 Aug 18:00,11 Aug 2021,18:00:02,27.2
15.0,12 Aug 10:59,12 Aug 2021,10:59:37,26.6
16.0,12 Aug 12:14,12 Aug 2021,12:14:31,0.0
17.0,16 Aug 10:05,16 Aug 2021,10:05:25,28.4
18.0,16 Aug 11:06,16 Aug 2021,11:06:03,28.6
19.0,16 Aug 15:15,16 Aug 2021,15:15:28,29.1
20.0,16 Aug 16:15,16 Aug 2021,16:15:54,29.9
21.0,16 Aug 17:19,16 Aug 2021,17:19:32,30.1
22.0,16 Aug 18:19,16 Aug 2021,18:19:53,30.2
23.0,16 Aug 23:18,16 Aug 2021,23:18:09,30.0
24.0,19 Aug 21:09,19 Aug 2021,21:09:25,30.7
25.0,19 Aug 22:09,19 Aug 2021,22:09:52,30.5
26.0,23 Aug 15:16,23 Aug 2021,15:16:38,30.2
27.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.0
28.0,28 Aug 19:18,28 Aug 2021,19:18:38,28.2
,03 Sep 02:17,03 Sep 2021,02:17:33,26.7
,10 Sep 17:38,10 Sep 2021,17:38:26,28.1
,12 Sep 17:30,12 Sep 2021,17:30:03,27.8
