Unnamed: 0,DateTime,Date,Time,Conductivity(µS/cm)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,502.0
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,592.0
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.0
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,435.0
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,451.0
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,442.0
6.0,10 Aug 19:26,10 Aug 2021,19:26:33,571.0
7.0,11 Aug 16:56,11 Aug 2021,16:56:21,564.0
8.0,11 Aug 18:00,11 Aug 2021,18:00:02,565.0
9.0,12 Aug 10:58,12 Aug 2021,10:58:34,577.0
10.0,16 Aug 10:05,16 Aug 2021,10:05:25,583.0
11.0,16 Aug 15:15,16 Aug 2021,15:15:28,561.0
12.0,16 Aug 16:15,16 Aug 2021,16:15:54,564.0
13.0,16 Aug 17:19,16 Aug 2021,17:19:32,577.0
14.0,16 Aug 18:19,16 Aug 2021,18:19:53,570.0
15.0,16 Aug 19:20,16 Aug 2021,19:20:17,586.0
16.0,16 Aug 23:18,16 Aug 2021,23:18:09,598.0
17.0,19 Aug 21:09,19 Aug 2021,21:09:25,549.0
18.0,23 Aug 15:16,23 Aug 2021,15:16:38,578.0
19.0,23 Aug 18:03,23 Aug 2021,18:03:46,576.0
20.0,28 Aug 10:21,28 Aug 2021,10:21:18,383.0
21.0,28 Aug 11:35,28 Aug 2021,11:35:06,373.0
22.0,28 Aug 12:45,28 Aug 2021,12:45:39,308.0
23.0,28 Aug 15:26,28 Aug 2021,15:26:51,301.0
24.0,28 Aug 18:00,28 Aug 2021,18:00:08,334.0
25.0,28 Aug 19:18,28 Aug 2021,19:18:38,367.0
,03 Sep 02:17,03 Sep 2021,02:17:33,543.0
,03 09 10:54,03 Sep 2021,10:54:46,549.0
,10 Sep 17:38,10 Sep 2021,17:38:26,513.0
,10 Sep 23:30,10 Sep 2021,23:30:16,543.0
,12 Sep 16:50,12 Sep 2021,16:50:46,561.0
,12 Sep 17:30,12 Sep 2021,17:30:03,559.0
,12 Sep 18:30,12 Sep 2021,18:30:04,540.0
,12 Sep 21:12,12 Sep 2021,21:12:54,581.0
,12 Sep 22:53,12 Sep 2021,22:53:57,576.0
