Unnamed: 0,DateTime,Date,Time,Water Level(cm.)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,324.55
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,212.81
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,348.2
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,480.53
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,562.51
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,516.74
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,455.36
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,401.19
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,353.92
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,225.78
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,316.92
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,279.91
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,252.1
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,381.01
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,336.75
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,297.08
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,338.66
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,266.22
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,216.63
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,567.85
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,527.04
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,287.54
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,230.36
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,384.78
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,341.71
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,229.21
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,314.25
27.0,16 Aug 18:19,16 Aug 2021,18:19:53,390.89
28.0,16 Aug 19:20,16 Aug 2021,19:20:17,440.1
29.0,16 Aug 23:18,16 Aug 2021,23:18:09,346.29
30.0,19 Aug 21:09,19 Aug 2021,21:09:25,265.45
31.0,19 Aug 22:09,19 Aug 2021,22:09:52,350.87
32.0,23 Aug 15:16,23 Aug 2021,15:16:38,112.0
,03 Sep 02:17,03 Sep 2021,02:17:33,133.02
,03 09 10:54,03 Sep 2021,10:54:46,128.98
,10 Sep 17:38,10 Sep 2021,17:38:26,0.0
,12 Sep 18:42,12 Sep 2021,18:42:45,128.5
,12 Sep 22:00,12 Sep 2021,22:00:04,133.36
