Unnamed: 0,DateTime,Date,Time,DO(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.24
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.25
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,0.24
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.25
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,0.27
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,0.25
6.0,10 Aug 10:27,10 Aug 2021,10:27:28,0.24
7.0,10 Aug 20:27,10 Aug 2021,20:27:03,0.25
8.0,10 Aug 21:30,10 Aug 2021,21:30:23,0.24
9.0,11 Aug 08:47,11 Aug 2021,08:47:06,0.25
10.0,11 Aug 16:56,11 Aug 2021,16:56:21,0.24
11.0,12 Aug 10:59,12 Aug 2021,10:59:37,0.25
12.0,23 Aug 18:03,23 Aug 2021,18:03:46,0.26
13.0,28 Aug 10:21,28 Aug 2021,10:21:18,4.13
14.0,28 Aug 12:45,28 Aug 2021,12:45:39,4.14
15.0,28 Aug 15:26,28 Aug 2021,15:26:51,4.09
16.0,28 Aug 18:00,28 Aug 2021,18:00:08,4.15
17.0,28 Aug 19:18,28 Aug 2021,19:18:38,4.12
,03 Sep 02:17,03 Sep 2021,02:17:33,4.14
,03 09 10:54,03 Sep 2021,10:54:46,4.17
,10 Sep 17:38,10 Sep 2021,17:38:26,3.96
,10 Sep 23:30,10 Sep 2021,23:30:16,4.1
,12 Sep 17:30,12 Sep 2021,17:30:03,4.07
,12 Sep 18:42,12 Sep 2021,18:42:45,4.04
,12 Sep 21:12,12 Sep 2021,21:12:54,4.09
