Unnamed: 0,DateTime,Date,Time,Chloride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,19.24
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,18.87
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,18.85
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,18.87
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,18.88
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,18.92
6.0,09 Aug 19:30,09 Aug 2021,19:30:40,18.97
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,18.93
8.0,10 Aug 08:24,10 Aug 2021,08:24:01,19.01
9.0,10 Aug 19:26,10 Aug 2021,19:26:33,18.99
10.0,11 Aug 08:47,11 Aug 2021,08:47:06,19.02
11.0,11 Aug 12:13,11 Aug 2021,12:13:36,19.03
12.0,11 Aug 16:56,11 Aug 2021,16:56:21,19.05
13.0,11 Aug 18:00,11 Aug 2021,18:00:02,19.07
14.0,12 Aug 10:59,12 Aug 2021,10:59:37,19.15
15.0,16 Aug 10:05,16 Aug 2021,10:05:25,19.11
16.0,16 Aug 11:06,16 Aug 2021,11:06:03,19.08
17.0,16 Aug 15:15,16 Aug 2021,15:15:28,19.0
18.0,16 Aug 16:15,16 Aug 2021,16:15:54,18.97
19.0,16 Aug 17:19,16 Aug 2021,17:19:32,18.98
20.0,16 Aug 23:18,16 Aug 2021,23:18:09,18.99
21.0,19 Aug 21:09,19 Aug 2021,21:09:25,19.03
22.0,19 Aug 22:09,19 Aug 2021,22:09:52,19.02
23.0,23 Aug 15:16,23 Aug 2021,15:16:38,19.19
24.0,23 Aug 18:03,23 Aug 2021,18:03:46,19.2
25.0,28 Aug 10:21,28 Aug 2021,10:21:18,19.41
26.0,28 Aug 11:35,28 Aug 2021,11:35:06,19.42
27.0,28 Aug 15:26,28 Aug 2021,15:26:51,19.43
28.0,28 Aug 18:00,28 Aug 2021,18:00:08,19.42
,03 Sep 02:17,03 Sep 2021,02:17:33,18.91
,03 09 10:54,03 Sep 2021,10:54:46,18.73
,10 Sep 17:38,10 Sep 2021,17:38:26,19.33
,10 Sep 23:30,10 Sep 2021,23:30:16,19.31
,12 Sep 17:30,12 Sep 2021,17:30:03,19.43
,12 Sep 18:42,12 Sep 2021,18:42:45,19.42
,12 Sep 21:12,12 Sep 2021,21:12:54,19.39
,12 Sep 22:53,12 Sep 2021,22:53:57,19.41
