Unnamed: 0,DateTime,Date,Time,Water Level(cm.)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,448.47
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,501.68
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,501.11
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,501.68
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,503.78
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,504.35
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,504.93
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,512.75
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,512.37
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,516.94
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,522.67
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,524.57
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,525.91
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,528.2
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,530.29
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,529.34
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,539.83
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,532.77
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,535.44
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,538.69
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,539.64
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,555.09
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,554.9
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,578.51
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,577.56
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,575.65
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,573.55
27.0,19 Aug 21:09,19 Aug 2021,21:09:25,437.21
28.0,23 Aug 15:16,23 Aug 2021,15:16:38,378.66
29.0,23 Aug 18:03,23 Aug 2021,18:03:46,375.8
30.0,28 Aug 10:21,28 Aug 2021,10:21:18,372.93
31.0,28 Aug 12:45,28 Aug 2021,12:45:39,373.7
32.0,28 Aug 15:26,28 Aug 2021,15:26:51,376.18
33.0,28 Aug 18:00,28 Aug 2021,18:00:08,375.41
34.0,28 Aug 19:18,28 Aug 2021,19:18:38,376.18
,03 Sep 02:17,03 Sep 2021,02:17:33,410.51
,03 09 10:54,03 Sep 2021,10:54:46,405.93
,10 Sep 17:38,10 Sep 2021,17:38:26,330.21
,10 Sep 23:30,10 Sep 2021,23:30:16,326.58
,12 Sep 17:30,12 Sep 2021,17:30:03,319.34
,12 Sep 18:42,12 Sep 2021,18:42:45,319.72
,12 Sep 21:12,12 Sep 2021,21:12:54,318.19
