Unnamed: 0,DateTime,Date,Time,TOC(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,13.08
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,7.51
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,6.33
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,6.43
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,6.18
5.0,09 Aug 19:30,09 Aug 2021,19:30:40,5.96
6.0,10 Aug 00:49,10 Aug 2021,00:49:39,5.4
7.0,10 Aug 08:24,10 Aug 2021,08:24:01,5.21
8.0,10 Aug 09:26,10 Aug 2021,09:26:56,5.19
9.0,10 Aug 10:27,10 Aug 2021,10:27:28,5.04
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,5.3
11.0,10 Aug 20:27,10 Aug 2021,20:27:03,5.15
12.0,10 Aug 21:30,10 Aug 2021,21:30:23,5.0
13.0,11 Aug 08:47,11 Aug 2021,08:47:06,5.15
14.0,11 Aug 10:20,11 Aug 2021,10:20:04,5.2
15.0,11 Aug 12:13,11 Aug 2021,12:13:36,5.41
16.0,11 Aug 16:56,11 Aug 2021,16:56:21,6.05
17.0,11 Aug 18:00,11 Aug 2021,18:00:02,6.0
18.0,12 Aug 10:59,12 Aug 2021,10:59:37,6.84
19.0,12 Aug 12:14,12 Aug 2021,12:14:31,6.85
20.0,16 Aug 10:05,16 Aug 2021,10:05:25,7.85
21.0,16 Aug 15:15,16 Aug 2021,15:15:28,7.73
22.0,16 Aug 16:15,16 Aug 2021,16:15:54,7.34
23.0,16 Aug 17:19,16 Aug 2021,17:19:32,7.47
24.0,16 Aug 18:19,16 Aug 2021,18:19:53,7.31
25.0,16 Aug 19:20,16 Aug 2021,19:20:17,7.23
26.0,19 Aug 21:09,19 Aug 2021,21:09:25,3.94
27.0,19 Aug 22:09,19 Aug 2021,22:09:52,3.92
28.0,23 Aug 15:16,23 Aug 2021,15:16:38,3.84
29.0,28 Aug 10:21,28 Aug 2021,10:21:18,3.86
30.0,28 Aug 19:18,28 Aug 2021,19:18:38,6.04
,03 Sep 02:17,03 Sep 2021,02:17:33,5.04
,10 Sep 17:38,10 Sep 2021,17:38:26,4.48
,12 Sep 17:30,12 Sep 2021,17:30:03,4.05
