Unnamed: 0,DateTime,Date,Time,"Color(Pt.Scale,Hz units)"
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,115.1
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,106.04
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,105.39
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,132.44
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,128.08
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,125.23
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,119.59
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,115.4
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,113.86
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,107.52
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,109.3
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,108.15
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,107.13
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,111.3
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,110.02
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,108.31
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,108.78
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,106.4
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,104.95
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,119.4
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,116.44
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,105.63
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,104.34
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,105.96
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,105.78
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,94.77
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,94.39
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,93.6
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,102.56
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,100.03
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,97.09
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,92.94
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,94.15
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,106.31
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,98.04
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,91.25
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,90.37
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,90.68
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,91.26
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,98.01
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,96.41
,03 Sep 02:17,03 Sep 2021,02:17:33,85.61
,03 09 10:54,03 Sep 2021,10:54:46,89.35
,10 Sep 17:38,10 Sep 2021,17:38:26,94.34
,10 Sep 23:30,10 Sep 2021,23:30:16,84.61
,12 Sep 18:42,12 Sep 2021,18:42:45,93.04
,12 Sep 22:00,12 Sep 2021,22:00:04,86.37
,12 Sep 22:53,12 Sep 2021,22:53:57,84.99
