Unnamed: 0,DateTime,Date,Time,BTX(µg/ml)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.09
1.0,09 Aug 12:57,09 Aug 2021,12:57:04,0.07
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.08
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,0.09
4.0,10 Aug 08:24,10 Aug 2021,08:24:01,0.13
5.0,10 Aug 09:26,10 Aug 2021,09:26:56,0.12
6.0,10 Aug 10:27,10 Aug 2021,10:27:28,0.0
7.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.1
8.0,10 Aug 21:30,10 Aug 2021,21:30:23,0.09
9.0,11 Aug 08:47,11 Aug 2021,08:47:06,0.11
10.0,11 Aug 10:20,11 Aug 2021,10:20:04,0.08
11.0,11 Aug 12:13,11 Aug 2021,12:13:36,0.09
12.0,11 Aug 16:56,11 Aug 2021,16:56:21,0.08
13.0,12 Aug 10:59,12 Aug 2021,10:59:37,0.07
14.0,12 Aug 12:14,12 Aug 2021,12:14:31,0.09
15.0,28 Aug 12:45,28 Aug 2021,12:45:39,0.08
16.0,28 Aug 15:26,28 Aug 2021,15:26:51,0.09
,03 Sep 02:17,03 Sep 2021,02:17:33,0.1
,10 Sep 17:38,10 Sep 2021,17:38:26,0.09
