Unnamed: 0,DateTime,Date,Time,BOD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,7.56
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,7.13
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,6.97
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,6.82
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,6.75
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,6.77
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,6.93
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,6.87
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,6.76
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,6.54
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,6.36
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,6.22
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,6.54
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,5.01
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,5.23
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,4.88
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,5.5
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,4.9
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,4.48
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,4.59
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,4.72
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,5.1
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,5.02
23.0,16 Aug 11:06,16 Aug 2021,11:06:03,4.85
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,4.92
25.0,16 Aug 16:15,16 Aug 2021,16:15:54,4.64
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,4.56
27.0,16 Aug 18:19,16 Aug 2021,18:19:53,4.65
28.0,16 Aug 19:20,16 Aug 2021,19:20:17,4.93
29.0,16 Aug 23:18,16 Aug 2021,23:18:09,4.59
30.0,17 Aug 00:18,17 Aug 2021,00:18:33,4.36
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,4.13
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,3.98
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,4.01
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,3.97
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,3.36
36.0,28 Aug 12:45,28 Aug 2021,12:45:39,3.39
37.0,28 Aug 15:26,28 Aug 2021,15:26:51,3.4
38.0,28 Aug 18:00,28 Aug 2021,18:00:08,3.39
39.0,28 Aug 19:18,28 Aug 2021,19:18:38,3.46
,03 Sep 02:17,03 Sep 2021,02:17:33,3.82
,03 09 10:54,03 Sep 2021,10:54:46,3.77
,10 Sep 17:38,10 Sep 2021,17:38:26,4.29
,10 Sep 23:30,10 Sep 2021,23:30:16,4.48
,12 Sep 22:00,12 Sep 2021,22:00:04,4.51
