Unnamed: 0,DateTime,Date,Time,Conductivity(µS/cm)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,543.0
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,407.0
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,408.0
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,410.0
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,409.0
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,408.0
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,407.0
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,403.0
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,348.0
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,3.0
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,1.0
11.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.0
12.0,16 Aug 10:05,16 Aug 2021,10:05:25,411.0
13.0,16 Aug 15:15,16 Aug 2021,15:15:28,413.0
14.0,19 Aug 21:09,19 Aug 2021,21:09:25,399.0
15.0,23 Aug 15:16,23 Aug 2021,15:16:38,410.0
16.0,28 Aug 10:21,28 Aug 2021,10:21:18,416.0
17.0,28 Aug 15:26,28 Aug 2021,15:26:51,418.0
18.0,28 Aug 19:18,28 Aug 2021,19:18:38,416.0
,03 Sep 02:17,03 Sep 2021,02:17:33,426.0
,03 09 10:54,03 Sep 2021,10:54:46,427.0
,10 Sep 17:38,10 Sep 2021,17:38:26,442.0
,10 Sep 23:30,10 Sep 2021,23:30:16,440.0
,12 Sep 18:42,12 Sep 2021,18:42:45,443.0
,12 Sep 22:00,12 Sep 2021,22:00:04,444.0
,12 Sep 22:53,12 Sep 2021,22:53:57,443.0
