Unnamed: 0,DateTime,Date,Time,Temperature(°C)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,28.2
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,29.1
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,29.2
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,29.5
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,30.2
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,30.1
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,30.2
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,30.0
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,29.6
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,28.3
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,28.2
11.0,10 Aug 19:26,10 Aug 2021,19:26:33,29.1
12.0,10 Aug 20:27,10 Aug 2021,20:27:03,29.2
13.0,10 Aug 21:30,10 Aug 2021,21:30:23,29.1
14.0,11 Aug 08:47,11 Aug 2021,08:47:06,28.1
15.0,11 Aug 10:20,11 Aug 2021,10:20:04,28.7
16.0,11 Aug 12:13,11 Aug 2021,12:13:36,29.1
17.0,11 Aug 16:56,11 Aug 2021,16:56:21,30.2
18.0,11 Aug 18:00,11 Aug 2021,18:00:02,30.4
19.0,12 Aug 10:59,12 Aug 2021,10:59:37,29.3
20.0,12 Aug 12:14,12 Aug 2021,12:14:31,29.5
21.0,16 Aug 10:05,16 Aug 2021,10:05:25,30.2
22.0,16 Aug 11:06,16 Aug 2021,11:06:03,30.3
23.0,16 Aug 15:15,16 Aug 2021,15:15:28,31.2
24.0,16 Aug 16:15,16 Aug 2021,16:15:54,31.3
25.0,16 Aug 18:19,16 Aug 2021,18:19:53,31.4
26.0,16 Aug 23:18,16 Aug 2021,23:18:09,31.1
27.0,19 Aug 21:09,19 Aug 2021,21:09:25,31.4
28.0,19 Aug 22:09,19 Aug 2021,22:09:52,31.3
29.0,23 Aug 15:16,23 Aug 2021,15:16:38,30.8
30.0,23 Aug 18:03,23 Aug 2021,18:03:46,30.4
31.0,28 Aug 10:21,28 Aug 2021,10:21:18,29.7
32.0,28 Aug 11:35,28 Aug 2021,11:35:06,29.8
33.0,28 Aug 12:45,28 Aug 2021,12:45:39,29.9
34.0,28 Aug 15:26,28 Aug 2021,15:26:51,30.3
35.0,28 Aug 18:00,28 Aug 2021,18:00:08,30.4
,03 Sep 02:17,03 Sep 2021,02:17:33,29.6
,03 09 10:54,03 Sep 2021,10:54:46,29.4
,10 Sep 17:38,10 Sep 2021,17:38:26,29.8
,10 Sep 23:30,10 Sep 2021,23:30:16,29.6
,12 Sep 17:30,12 Sep 2021,17:30:03,29.4
,12 Sep 18:42,12 Sep 2021,18:42:45,29.6
