Unnamed: 0,DateTime,Date,Time,Conductivity(µS/cm)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,627.0
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,671.0
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,616.0
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,697.0
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,29.0
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,733.0
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,556.0
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,734.0
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,674.0
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,744.0
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,728.0
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,714.0
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,818.0
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,797.0
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,64.0
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,781.0
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,755.0
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,810.0
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,800.0
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,769.0
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,11.0
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,736.0
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,127.0
23.0,16 Aug 15:15,16 Aug 2021,15:15:28,859.0
24.0,16 Aug 17:19,16 Aug 2021,17:19:32,780.0
25.0,16 Aug 19:20,16 Aug 2021,19:20:17,787.0
26.0,16 Aug 23:18,16 Aug 2021,23:18:09,718.0
27.0,17 Aug 00:18,17 Aug 2021,00:18:33,701.0
28.0,19 Aug 21:09,19 Aug 2021,21:09:25,756.0
29.0,19 Aug 22:09,19 Aug 2021,22:09:52,66.0
30.0,23 Aug 15:16,23 Aug 2021,15:16:38,641.0
31.0,23 Aug 18:03,23 Aug 2021,18:03:46,478.0
32.0,28 Aug 10:21,28 Aug 2021,10:21:18,807.0
33.0,28 Aug 11:35,28 Aug 2021,11:35:06,881.0
34.0,28 Aug 12:45,28 Aug 2021,12:45:39,831.0
35.0,28 Aug 15:26,28 Aug 2021,15:26:51,813.0
36.0,28 Aug 18:00,28 Aug 2021,18:00:08,888.0
37.0,28 Aug 19:18,28 Aug 2021,19:18:38,858.0
,03 Sep 02:17,03 Sep 2021,02:17:33,750.0
,03 09 10:54,03 Sep 2021,10:54:46,777.0
,10 Sep 17:38,10 Sep 2021,17:38:26,830.0
,10 Sep 23:30,10 Sep 2021,23:30:16,861.0
,12 Sep 17:30,12 Sep 2021,17:30:03,843.0
,12 Sep 18:42,12 Sep 2021,18:42:45,859.0
,12 Sep 21:12,12 Sep 2021,21:12:54,0.0
,12 Sep 22:53,12 Sep 2021,22:53:57,862.0
