Unnamed: 0,DateTime,Date,Time,Nitrate(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,1.62
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,1.65
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,1.71
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,1.72
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,1.68
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,1.75
6.0,09 Aug 19:30,09 Aug 2021,19:30:40,1.65
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,1.61
8.0,10 Aug 19:26,10 Aug 2021,19:26:33,1.63
9.0,10 Aug 20:27,10 Aug 2021,20:27:03,1.61
10.0,10 Aug 21:30,10 Aug 2021,21:30:23,1.59
11.0,11 Aug 08:47,11 Aug 2021,08:47:06,1.09
12.0,11 Aug 10:20,11 Aug 2021,10:20:04,1.5
13.0,11 Aug 12:13,11 Aug 2021,12:13:36,1.58
14.0,11 Aug 16:56,11 Aug 2021,16:56:21,1.57
15.0,11 Aug 18:00,11 Aug 2021,18:00:02,1.59
16.0,12 Aug 10:59,12 Aug 2021,10:59:37,1.57
17.0,12 Aug 12:14,12 Aug 2021,12:14:31,1.66
18.0,16 Aug 10:05,16 Aug 2021,10:05:25,1.77
19.0,16 Aug 11:06,16 Aug 2021,11:06:03,1.75
20.0,16 Aug 15:15,16 Aug 2021,15:15:28,1.82
21.0,16 Aug 16:15,16 Aug 2021,16:15:54,1.81
22.0,16 Aug 18:19,16 Aug 2021,18:19:53,1.84
23.0,16 Aug 19:20,16 Aug 2021,19:20:17,1.83
24.0,16 Aug 23:18,16 Aug 2021,23:18:09,1.79
25.0,19 Aug 21:09,19 Aug 2021,21:09:25,1.91
26.0,19 Aug 22:09,19 Aug 2021,22:09:52,1.92
27.0,23 Aug 15:16,23 Aug 2021,15:16:38,1.82
28.0,23 Aug 18:03,23 Aug 2021,18:03:46,1.87
29.0,28 Aug 10:21,28 Aug 2021,10:21:18,1.67
30.0,28 Aug 11:35,28 Aug 2021,11:35:06,1.69
31.0,28 Aug 15:26,28 Aug 2021,15:26:51,1.68
32.0,28 Aug 18:00,28 Aug 2021,18:00:08,1.66
33.0,28 Aug 19:18,28 Aug 2021,19:18:38,1.67
,03 Sep 02:17,03 Sep 2021,02:17:33,1.47
,03 09 10:54,03 Sep 2021,10:54:46,1.31
,10 Sep 17:38,10 Sep 2021,17:38:26,1.21
,10 Sep 23:30,10 Sep 2021,23:30:16,1.22
,12 Sep 18:42,12 Sep 2021,18:42:45,1.23
,12 Sep 22:00,12 Sep 2021,22:00:04,1.22
,12 Sep 22:53,12 Sep 2021,22:53:57,1.23
