Unnamed: 0,DateTime,Date,Time,Floride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,2.56
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,3.84
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,3.88
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,3.98
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,3.95
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,4.07
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,4.03
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,3.93
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,3.46
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,3.24
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,3.47
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,3.82
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,3.79
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,4.07
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,4.08
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,4.12
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,5.67
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,5.64
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,6.32
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,4.03
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,4.1
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,3.52
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,3.5
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,3.77
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,3.66
25.0,16 Aug 16:15,16 Aug 2021,16:15:54,3.53
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,3.5
27.0,16 Aug 19:20,16 Aug 2021,19:20:17,3.54
28.0,16 Aug 23:18,16 Aug 2021,23:18:09,4.46
29.0,19 Aug 21:09,19 Aug 2021,21:09:25,2.85
30.0,19 Aug 22:09,19 Aug 2021,22:09:52,2.53
31.0,23 Aug 15:16,23 Aug 2021,15:16:38,2.9
32.0,23 Aug 18:03,23 Aug 2021,18:03:46,2.66
33.0,28 Aug 10:21,28 Aug 2021,10:21:18,2.72
34.0,28 Aug 11:35,28 Aug 2021,11:35:06,2.41
35.0,28 Aug 15:26,28 Aug 2021,15:26:51,2.45
36.0,28 Aug 18:00,28 Aug 2021,18:00:08,2.42
37.0,28 Aug 19:18,28 Aug 2021,19:18:38,2.64
,03 Sep 02:17,03 Sep 2021,02:17:33,0.81
,03 09 10:54,03 Sep 2021,10:54:46,0.83
,10 Sep 17:38,10 Sep 2021,17:38:26,0.66
,10 Sep 23:30,10 Sep 2021,23:30:16,0.59
,12 Sep 17:30,12 Sep 2021,17:30:03,0.67
,12 Sep 18:42,12 Sep 2021,18:42:45,0.69
,12 Sep 21:12,12 Sep 2021,21:12:54,0.66
