Unnamed: 0,DateTime,Date,Time,Ammonia(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,1.41
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.31
2.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.58
3.0,16 Aug 10:05,16 Aug 2021,10:05:25,0.22
4.0,19 Aug 21:09,19 Aug 2021,21:09:25,0.03
5.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.39
6.0,28 Aug 18:00,28 Aug 2021,18:00:08,0.35
,03 Sep 02:17,03 Sep 2021,02:17:33,0.14
,03 09 10:54,03 Sep 2021,10:54:46,0.11
,10 Sep 17:38,10 Sep 2021,17:38:26,0.28
,10 Sep 23:24,10 Sep 2021,23:24:03,1.64
