Unnamed: 0,DateTime,Date,Time,DO(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,5.89
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,5.16
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,5.13
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,5.16
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,5.21
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,5.24
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,5.26
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,5.24
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,5.27
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,5.38
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,5.19
11.0,10 Aug 20:27,10 Aug 2021,20:27:03,5.29
12.0,10 Aug 21:30,10 Aug 2021,21:30:23,5.19
13.0,11 Aug 08:47,11 Aug 2021,08:47:06,5.16
14.0,11 Aug 10:20,11 Aug 2021,10:20:04,5.12
15.0,11 Aug 12:13,11 Aug 2021,12:13:36,5.09
16.0,11 Aug 16:56,11 Aug 2021,16:56:21,5.12
17.0,11 Aug 18:00,11 Aug 2021,18:00:02,5.15
18.0,12 Aug 10:59,12 Aug 2021,10:59:37,5.13
19.0,16 Aug 10:05,16 Aug 2021,10:05:25,6.82
20.0,16 Aug 11:06,16 Aug 2021,11:06:03,6.8
21.0,16 Aug 15:15,16 Aug 2021,15:15:28,6.87
22.0,16 Aug 16:15,16 Aug 2021,16:15:54,6.89
23.0,16 Aug 17:19,16 Aug 2021,17:19:32,6.94
24.0,16 Aug 18:19,16 Aug 2021,18:19:53,6.91
25.0,16 Aug 19:20,16 Aug 2021,19:20:17,7.0
26.0,16 Aug 23:18,16 Aug 2021,23:18:09,6.95
27.0,19 Aug 21:09,19 Aug 2021,21:09:25,7.66
28.0,23 Aug 15:16,23 Aug 2021,15:16:38,7.76
29.0,23 Aug 18:03,23 Aug 2021,18:03:46,7.89
30.0,28 Aug 10:21,28 Aug 2021,10:21:18,6.16
31.0,28 Aug 11:35,28 Aug 2021,11:35:06,6.17
32.0,28 Aug 15:26,28 Aug 2021,15:26:51,6.26
33.0,28 Aug 18:00,28 Aug 2021,18:00:08,6.36
34.0,28 Aug 19:18,28 Aug 2021,19:18:38,6.48
,03 Sep 02:17,03 Sep 2021,02:17:33,7.17
,03 09 10:54,03 Sep 2021,10:54:46,7.06
,10 Sep 17:38,10 Sep 2021,17:38:26,7.7
,10 Sep 23:30,10 Sep 2021,23:30:16,7.72
,12 Sep 18:42,12 Sep 2021,18:42:45,7.57
,12 Sep 22:00,12 Sep 2021,22:00:04,7.58
,12 Sep 22:53,12 Sep 2021,22:53:57,7.56
