Unnamed: 0,DateTime,Date,Time,pH
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,8.4
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,8.38
2.0,09 Aug 16:29,09 Aug 2021,16:29:24,0.0
3.0,09 Aug 17:29,09 Aug 2021,17:29:51,8.38
4.0,09 Aug 18:30,09 Aug 2021,18:30:16,8.39
5.0,10 Aug 08:24,10 Aug 2021,08:24:01,8.38
6.0,11 Aug 08:47,11 Aug 2021,08:47:06,8.39
7.0,11 Aug 12:13,11 Aug 2021,12:13:36,8.4
8.0,11 Aug 16:56,11 Aug 2021,16:56:21,8.39
9.0,16 Aug 10:05,16 Aug 2021,10:05:25,8.38
10.0,16 Aug 15:15,16 Aug 2021,15:15:28,8.37
11.0,19 Aug 21:09,19 Aug 2021,21:09:25,8.31
12.0,28 Aug 10:21,28 Aug 2021,10:21:18,8.32
13.0,28 Aug 15:26,28 Aug 2021,15:26:51,8.31
,03 Sep 02:17,03 Sep 2021,02:17:33,8.3
,10 Sep 17:38,10 Sep 2021,17:38:26,8.31
,12 Sep 17:30,12 Sep 2021,17:30:03,8.3
,12 Sep 22:53,12 Sep 2021,22:53:57,8.31
