Unnamed: 0,DateTime,Date,Time,DO(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,2.19
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,2.05
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,2.06
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,2.05
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,2.04
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,2.05
6.0,09 Aug 19:30,09 Aug 2021,19:30:40,2.67
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,2.09
8.0,10 Aug 08:24,10 Aug 2021,08:24:01,2.1
9.0,10 Aug 09:26,10 Aug 2021,09:26:56,2.08
10.0,10 Aug 10:27,10 Aug 2021,10:27:28,2.09
11.0,10 Aug 19:26,10 Aug 2021,19:26:33,2.04
12.0,10 Aug 20:27,10 Aug 2021,20:27:03,2.05
13.0,10 Aug 21:30,10 Aug 2021,21:30:23,2.04
14.0,11 Aug 08:47,11 Aug 2021,08:47:06,14.78
15.0,11 Aug 10:20,11 Aug 2021,10:20:04,15.06
16.0,11 Aug 12:13,11 Aug 2021,12:13:36,15.59
17.0,11 Aug 16:56,11 Aug 2021,16:56:21,2.07
18.0,11 Aug 18:00,11 Aug 2021,18:00:02,2.06
19.0,12 Aug 10:59,12 Aug 2021,10:59:37,2.05
20.0,16 Aug 10:05,16 Aug 2021,10:05:25,2.03
21.0,16 Aug 15:15,16 Aug 2021,15:15:28,2.02
22.0,16 Aug 16:15,16 Aug 2021,16:15:54,2.0
23.0,16 Aug 17:19,16 Aug 2021,17:19:32,1.99
24.0,16 Aug 23:18,16 Aug 2021,23:18:09,2.01
25.0,19 Aug 21:09,19 Aug 2021,21:09:25,2.0
26.0,23 Aug 15:16,23 Aug 2021,15:16:38,2.58
27.0,23 Aug 18:03,23 Aug 2021,18:03:46,2.15
28.0,28 Aug 10:21,28 Aug 2021,10:21:18,2.01
29.0,28 Aug 11:35,28 Aug 2021,11:35:06,2.0
30.0,28 Aug 15:26,28 Aug 2021,15:26:51,1.98
31.0,28 Aug 18:00,28 Aug 2021,18:00:08,1.97
32.0,28 Aug 19:18,28 Aug 2021,19:18:38,2.16
,03 Sep 02:17,03 Sep 2021,02:17:33,2.46
,03 09 10:54,03 Sep 2021,10:54:46,2.51
,10 Sep 17:38,10 Sep 2021,17:38:26,2.45
,10 Sep 23:30,10 Sep 2021,23:30:16,2.47
,12 Sep 17:30,12 Sep 2021,17:30:03,2.46
,12 Sep 18:42,12 Sep 2021,18:42:45,2.45
,12 Sep 21:12,12 Sep 2021,21:12:54,2.47
,12 Sep 22:53,12 Sep 2021,22:53:57,2.46
