Unnamed: 0,DateTime,Date,Time,Nitrate(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.78
1.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.75
2.0,16 Aug 19:20,16 Aug 2021,19:20:17,0.79
3.0,19 Aug 21:09,19 Aug 2021,21:09:25,12.81
4.0,28 Aug 10:21,28 Aug 2021,10:21:18,13.09
5.0,28 Aug 18:00,28 Aug 2021,18:00:08,12.58
,03 Sep 02:17,03 Sep 2021,02:17:33,0.59
,03 09 10:54,03 Sep 2021,10:54:46,0.94
,10 Sep 17:38,10 Sep 2021,17:38:26,0.86
,10 Sep 23:30,10 Sep 2021,23:30:16,0.95
,12 Sep 16:50,12 Sep 2021,16:50:46,1.15
,12 Sep 17:30,12 Sep 2021,17:30:03,1.18
,12 Sep 21:12,12 Sep 2021,21:12:54,1.17
,12 Sep 22:53,12 Sep 2021,22:53:57,1.15
