Unnamed: 0,DateTime,Date,Time,BOD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,7.6
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,8.19
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.0
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,8.33
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,8.34
5.0,10 Aug 19:26,10 Aug 2021,19:26:33,8.45
6.0,11 Aug 16:56,11 Aug 2021,16:56:21,8.59
7.0,12 Aug 10:59,12 Aug 2021,10:59:37,8.62
8.0,16 Aug 10:05,16 Aug 2021,10:05:25,9.18
9.0,16 Aug 15:15,16 Aug 2021,15:15:28,9.25
10.0,16 Aug 16:15,16 Aug 2021,16:15:54,9.28
11.0,16 Aug 17:19,16 Aug 2021,17:19:32,9.27
12.0,16 Aug 18:19,16 Aug 2021,18:19:53,9.28
13.0,16 Aug 19:20,16 Aug 2021,19:20:17,9.31
14.0,16 Aug 23:18,16 Aug 2021,23:18:09,9.35
15.0,19 Aug 21:09,19 Aug 2021,21:09:25,9.6
16.0,23 Aug 15:16,23 Aug 2021,15:16:38,9.73
17.0,23 Aug 18:03,23 Aug 2021,18:03:46,9.71
18.0,28 Aug 10:21,28 Aug 2021,10:21:18,8.56
19.0,28 Aug 11:35,28 Aug 2021,11:35:06,8.57
20.0,28 Aug 15:26,28 Aug 2021,15:26:51,8.59
21.0,28 Aug 18:00,28 Aug 2021,18:00:08,8.57
,03 Sep 02:17,03 Sep 2021,02:17:33,8.65
,10 Sep 17:38,10 Sep 2021,17:38:26,8.52
,10 Sep 23:30,10 Sep 2021,23:30:16,8.54
,12 Sep 16:50,12 Sep 2021,16:50:46,8.59
,12 Sep 18:30,12 Sep 2021,18:30:04,8.57
,12 Sep 21:12,12 Sep 2021,21:12:54,8.58
