Unnamed: 0,DateTime,Date,Time,Water Level(cm.)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,338.28
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,345.53
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,344.0
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,344.76
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,345.91
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,345.15
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,345.53
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,345.91
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,345.53
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,345.15
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,344.38
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,340.95
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,344.0
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,343.62
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,344.0
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,347.82
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,348.2
17.0,11 Aug 16:56,11 Aug 2021,16:56:21,346.67
18.0,11 Aug 18:00,11 Aug 2021,18:00:02,353.54
19.0,12 Aug 10:59,12 Aug 2021,10:59:37,362.69
20.0,12 Aug 12:14,12 Aug 2021,12:14:31,0.0
21.0,16 Aug 10:05,16 Aug 2021,10:05:25,371.47
22.0,16 Aug 11:06,16 Aug 2021,11:06:03,371.85
23.0,16 Aug 17:19,16 Aug 2021,17:19:32,371.09
24.0,16 Aug 19:20,16 Aug 2021,19:20:17,371.47
25.0,16 Aug 23:18,16 Aug 2021,23:18:09,371.09
26.0,19 Aug 21:09,19 Aug 2021,21:09:25,376.47
27.0,19 Aug 22:09,19 Aug 2021,22:09:52,376.85
28.0,23 Aug 15:16,23 Aug 2021,15:16:38,364.22
29.0,23 Aug 18:03,23 Aug 2021,18:03:46,366.13
30.0,28 Aug 10:21,28 Aug 2021,10:21:18,379.9
31.0,28 Aug 12:45,28 Aug 2021,12:45:39,379.14
32.0,28 Aug 15:26,28 Aug 2021,15:26:51,378.37
33.0,28 Aug 18:00,28 Aug 2021,18:00:08,377.23
34.0,28 Aug 19:18,28 Aug 2021,19:18:38,376.08
,03 Sep 02:17,03 Sep 2021,02:17:33,362.69
,03 09 10:54,03 Sep 2021,10:54:46,354.3
,10 Sep 17:38,10 Sep 2021,17:38:26,371.09
,10 Sep 23:30,10 Sep 2021,23:30:16,370.32
,12 Sep 17:30,12 Sep 2021,17:30:03,0.0
,12 Sep 18:42,12 Sep 2021,18:42:45,358.5
,12 Sep 22:00,12 Sep 2021,22:00:04,355.06
,12 Sep 22:53,12 Sep 2021,22:53:57,354.3
