Unnamed: 0,DateTime,Date,Time,pH
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,7.8
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,7.92
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,8.04
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,7.99
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,7.96
5.0,09 Aug 19:30,09 Aug 2021,19:30:40,7.91
6.0,10 Aug 00:49,10 Aug 2021,00:49:39,7.88
7.0,10 Aug 08:24,10 Aug 2021,08:24:01,7.84
8.0,10 Aug 09:26,10 Aug 2021,09:26:56,7.82
9.0,10 Aug 10:27,10 Aug 2021,10:27:28,7.83
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,7.8
11.0,10 Aug 21:30,10 Aug 2021,21:30:23,7.81
12.0,11 Aug 08:47,11 Aug 2021,08:47:06,7.82
13.0,11 Aug 12:13,11 Aug 2021,12:13:36,7.83
14.0,11 Aug 16:56,11 Aug 2021,16:56:21,7.82
15.0,12 Aug 10:59,12 Aug 2021,10:59:37,7.8
16.0,12 Aug 12:14,12 Aug 2021,12:14:31,0.0
17.0,16 Aug 10:05,16 Aug 2021,10:05:25,7.82
18.0,16 Aug 15:15,16 Aug 2021,15:15:28,7.81
19.0,16 Aug 16:15,16 Aug 2021,16:15:54,7.8
20.0,16 Aug 18:19,16 Aug 2021,18:19:53,7.81
21.0,16 Aug 19:20,16 Aug 2021,19:20:17,7.8
22.0,16 Aug 23:18,16 Aug 2021,23:18:09,7.81
23.0,19 Aug 21:09,19 Aug 2021,21:09:25,7.84
24.0,19 Aug 22:09,19 Aug 2021,22:09:52,7.85
25.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.0
26.0,28 Aug 19:18,28 Aug 2021,19:18:38,7.84
,03 Sep 02:17,03 Sep 2021,02:17:33,7.82
,10 Sep 17:38,10 Sep 2021,17:38:26,7.89
