Unnamed: 0,DateTime,Date,Time,Conductivity(µS/cm)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,218.0
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,222.0
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,0.0
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,221.0
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,219.0
5.0,09 Aug 19:30,09 Aug 2021,19:30:40,217.0
6.0,10 Aug 00:49,10 Aug 2021,00:49:39,218.0
7.0,10 Aug 08:24,10 Aug 2021,08:24:01,217.0
8.0,10 Aug 09:26,10 Aug 2021,09:26:56,216.0
9.0,10 Aug 19:26,10 Aug 2021,19:26:33,214.0
10.0,10 Aug 20:27,10 Aug 2021,20:27:03,213.0
11.0,10 Aug 21:30,10 Aug 2021,21:30:23,214.0
12.0,11 Aug 08:47,11 Aug 2021,08:47:06,216.0
13.0,11 Aug 10:20,11 Aug 2021,10:20:04,217.0
14.0,11 Aug 12:13,11 Aug 2021,12:13:36,216.0
15.0,12 Aug 10:59,12 Aug 2021,10:59:37,214.0
16.0,12 Aug 12:14,12 Aug 2021,12:14:31,213.0
17.0,16 Aug 10:05,16 Aug 2021,10:05:25,214.0
18.0,16 Aug 11:06,16 Aug 2021,11:06:03,215.0
19.0,16 Aug 15:15,16 Aug 2021,15:15:28,211.0
20.0,16 Aug 17:19,16 Aug 2021,17:19:32,210.0
21.0,16 Aug 18:19,16 Aug 2021,18:19:53,211.0
22.0,19 Aug 21:09,19 Aug 2021,21:09:25,222.0
23.0,23 Aug 15:16,23 Aug 2021,15:16:38,230.0
24.0,28 Aug 10:21,28 Aug 2021,10:21:18,227.0
25.0,28 Aug 12:45,28 Aug 2021,12:45:39,228.0
26.0,28 Aug 18:00,28 Aug 2021,18:00:08,227.0
,03 Sep 02:17,03 Sep 2021,02:17:33,228.8
,03 09 10:54,03 Sep 2021,10:54:46,233.3
,10 Sep 17:38,10 Sep 2021,17:38:26,252.1
,10 Sep 23:30,10 Sep 2021,23:30:16,255.2
,12 Sep 17:30,12 Sep 2021,17:30:03,253.6
,12 Sep 18:42,12 Sep 2021,18:42:45,253.2
,12 Sep 21:12,12 Sep 2021,21:12:54,250.8
,12 Sep 22:53,12 Sep 2021,22:53:57,251.2
