Unnamed: 0,DateTime,Date,Time,DO(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,5.34
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,4.09
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,4.36
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,4.67
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,5.31
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,5.57
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,5.73
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,5.81
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,5.84
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,4.66
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,3.82
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,3.77
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,3.8
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,5.34
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,5.26
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,5.08
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,4.34
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,4.19
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,4.15
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,5.04
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,5.29
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,4.64
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,4.92
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,3.19
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,3.33
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,4.46
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,4.63
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,4.8
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,4.95
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,5.01
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,4.76
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,6.32
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,6.13
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,6.06
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,7.38
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,3.34
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,3.58
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,3.93
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,5.34
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,6.16
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,6.45
,03 Sep 02:17,03 Sep 2021,02:17:33,4.32
,03 09 10:54,03 Sep 2021,10:54:46,3.33
,10 Sep 17:38,10 Sep 2021,17:38:26,5.61
,10 Sep 23:30,10 Sep 2021,23:30:16,6.2
,12 Sep 17:30,12 Sep 2021,17:30:03,5.12
,12 Sep 22:00,12 Sep 2021,22:00:04,5.42
