Unnamed: 0,DateTime,Date,Time,Temperature(°C)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,28.8
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,30.4
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,30.5
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,30.7
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,31.0
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,31.1
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,30.9
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,30.6
8.0,10 Aug 08:24,10 Aug 2021,08:24:01,30.0
9.0,10 Aug 10:27,10 Aug 2021,10:27:28,29.9
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,30.7
11.0,10 Aug 20:27,10 Aug 2021,20:27:03,30.6
12.0,11 Aug 08:47,11 Aug 2021,08:47:06,30.1
13.0,11 Aug 12:13,11 Aug 2021,12:13:36,30.3
14.0,11 Aug 16:56,11 Aug 2021,16:56:21,30.7
15.0,12 Aug 10:59,12 Aug 2021,10:59:37,30.1
16.0,12 Aug 12:14,12 Aug 2021,12:14:31,30.3
17.0,16 Aug 10:05,16 Aug 2021,10:05:25,30.1
18.0,16 Aug 11:06,16 Aug 2021,11:06:03,30.2
19.0,16 Aug 15:15,16 Aug 2021,15:15:28,31.2
20.0,16 Aug 16:15,16 Aug 2021,16:15:54,31.4
21.0,16 Aug 17:19,16 Aug 2021,17:19:32,31.3
22.0,16 Aug 18:19,16 Aug 2021,18:19:53,31.4
23.0,16 Aug 19:20,16 Aug 2021,19:20:17,31.5
24.0,16 Aug 23:18,16 Aug 2021,23:18:09,31.3
25.0,19 Aug 21:09,19 Aug 2021,21:09:25,31.8
26.0,23 Aug 15:16,23 Aug 2021,15:16:38,31.6
27.0,23 Aug 18:03,23 Aug 2021,18:03:46,31.8
28.0,28 Aug 10:21,28 Aug 2021,10:21:18,29.8
29.0,28 Aug 11:35,28 Aug 2021,11:35:06,29.9
30.0,28 Aug 12:45,28 Aug 2021,12:45:39,30.1
31.0,28 Aug 15:26,28 Aug 2021,15:26:51,30.6
32.0,28 Aug 18:00,28 Aug 2021,18:00:08,30.9
33.0,28 Aug 19:18,28 Aug 2021,19:18:38,31.0
,03 Sep 02:17,03 Sep 2021,02:17:33,29.8
,03 09 10:54,03 Sep 2021,10:54:46,30.0
,10 Sep 17:38,10 Sep 2021,17:38:26,30.7
,10 Sep 23:30,10 Sep 2021,23:30:16,30.3
,12 Sep 17:30,12 Sep 2021,17:30:03,30.7
,12 Sep 21:12,12 Sep 2021,21:12:54,30.6
,12 Sep 22:53,12 Sep 2021,22:53:57,30.5
