Unnamed: 0,DateTime,Date,Time,BOD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,3.71
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,4.94
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,5.79
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,4.07
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,4.74
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,5.36
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,5.15
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,5.8
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,5.22
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,4.64
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,10.07
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,8.19
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,0.0
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,4.24
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,5.68
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,4.59
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,7.41
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,7.51
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,8.5
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,3.55
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,3.59
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,3.12
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,3.13
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,3.04
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,3.03
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,3.06
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,3.05
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,3.03
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,3.06
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,3.07
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,3.05
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,3.0
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,3.01
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,3.35
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,3.22
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,3.12
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,3.09
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,3.13
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,3.08
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,3.13
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,3.08
,03 Sep 02:17,03 Sep 2021,02:17:33,3.03
,03 09 10:54,03 Sep 2021,10:54:46,3.05
,10 Sep 17:38,10 Sep 2021,17:38:26,3.09
,10 Sep 23:30,10 Sep 2021,23:30:16,3.06
,12 Sep 17:30,12 Sep 2021,17:30:03,2.99
,12 Sep 21:12,12 Sep 2021,21:12:54,2.96
