Unnamed: 0,DateTime,Date,Time,DO(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,6.39
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,3.13
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,6.39
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,7.89
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,7.3
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,7.95
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,5.6
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,5.29
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,3.1
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,3.99
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,3.16
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,3.1
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,5.68
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,4.96
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,3.23
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,5.01
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,3.1
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,3.08
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,6.27
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,5.03
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,3.42
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,3.08
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,5.06
23.0,16 Aug 11:06,16 Aug 2021,11:06:03,3.46
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,3.05
25.0,16 Aug 18:19,16 Aug 2021,18:19:53,7.12
26.0,16 Aug 19:20,16 Aug 2021,19:20:17,8.45
27.0,16 Aug 23:18,16 Aug 2021,23:18:09,3.93
28.0,19 Aug 21:09,19 Aug 2021,21:09:25,3.07
29.0,19 Aug 22:09,19 Aug 2021,22:09:52,3.08
30.0,23 Aug 15:16,23 Aug 2021,15:16:38,9.16
31.0,23 Aug 18:03,23 Aug 2021,18:03:46,4.05
32.0,28 Aug 10:21,28 Aug 2021,10:21:18,3.05
33.0,28 Aug 15:26,28 Aug 2021,15:26:51,3.04
34.0,28 Aug 18:00,28 Aug 2021,18:00:08,3.81
35.0,28 Aug 19:18,28 Aug 2021,19:18:38,3.15
,03 Sep 02:17,03 Sep 2021,02:17:33,7.71
,03 09 10:54,03 Sep 2021,10:54:46,6.96
,10 Sep 17:38,10 Sep 2021,17:38:26,6.17
,10 Sep 23:30,10 Sep 2021,23:30:16,3.85
,12 Sep 18:42,12 Sep 2021,18:42:45,9.96
,12 Sep 22:00,12 Sep 2021,22:00:04,4.41
