Unnamed: 0,DateTime,Date,Time,pH
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,7.67
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,7.81
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,7.82
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,7.8
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,7.81
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,7.83
6.0,10 Aug 00:49,10 Aug 2021,00:49:39,7.8
7.0,10 Aug 08:24,10 Aug 2021,08:24:01,7.83
8.0,10 Aug 09:26,10 Aug 2021,09:26:56,7.8
9.0,10 Aug 10:27,10 Aug 2021,10:27:28,7.78
10.0,11 Aug 08:47,11 Aug 2021,08:47:06,7.88
11.0,11 Aug 10:20,11 Aug 2021,10:20:04,7.94
12.0,11 Aug 12:13,11 Aug 2021,12:13:36,7.85
13.0,11 Aug 16:56,11 Aug 2021,16:56:21,7.86
14.0,11 Aug 18:00,11 Aug 2021,18:00:02,7.81
15.0,12 Aug 10:59,12 Aug 2021,10:59:37,7.69
16.0,12 Aug 12:14,12 Aug 2021,12:14:31,7.68
17.0,16 Aug 10:05,16 Aug 2021,10:05:25,7.6
18.0,16 Aug 11:06,16 Aug 2021,11:06:03,7.61
19.0,16 Aug 15:15,16 Aug 2021,15:15:28,7.62
20.0,16 Aug 17:19,16 Aug 2021,17:19:32,7.63
21.0,19 Aug 21:09,19 Aug 2021,21:09:25,7.76
22.0,23 Aug 15:16,23 Aug 2021,15:16:38,7.92
23.0,28 Aug 10:21,28 Aug 2021,10:21:18,8.33
24.0,28 Aug 11:35,28 Aug 2021,11:35:06,8.36
25.0,28 Aug 12:45,28 Aug 2021,12:45:39,8.35
26.0,28 Aug 15:26,28 Aug 2021,15:26:51,8.34
27.0,28 Aug 18:00,28 Aug 2021,18:00:08,8.32
,03 Sep 02:17,03 Sep 2021,02:17:33,8.39
,03 09 10:54,03 Sep 2021,10:54:46,8.45
,10 Sep 17:38,10 Sep 2021,17:38:26,8.58
,12 Sep 17:30,12 Sep 2021,17:30:03,8.62
,12 Sep 18:42,12 Sep 2021,18:42:45,8.58
,12 Sep 21:12,12 Sep 2021,21:12:54,8.61
