,DateTime,Date,Time,BTX(µg/ml)
0,04 Aug 14:26,04 Aug 2021,14:26:24,0.02
1,11 Aug 08:47,11 Aug 2021,08:47:06,0.01
2,11 Aug 10:20,11 Aug 2021,10:20:04,0.02
3,16 Aug 10:05,16 Aug 2021,10:05:25,0.01
4,16 Aug 16:15,16 Aug 2021,16:15:54,0.0
5,16 Aug 17:19,16 Aug 2021,17:19:32,0.01
6,16 Aug 19:20,16 Aug 2021,19:20:17,0.0
7,16 Aug 23:18,16 Aug 2021,23:18:09,0.01
8,23 Aug 18:03,23 Aug 2021,18:03:46,0.0
9,28 Aug 10:21,28 Aug 2021,10:21:18,0.01
