Unnamed: 0,DateTime,Date,Time,TOC(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,6.54
1.0,09 Aug 12:57,09 Aug 2021,12:57:04,6.43
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,6.3
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,6.22
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,6.28
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,6.46
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,6.48
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,6.47
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,6.17
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,6.38
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,6.25
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,6.51
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,4.16
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,4.71
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,4.8
15.0,11 Aug 08:56,11 Aug 2021,08:56:54,4.43
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,5.4
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,4.12
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,3.78
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,3.9
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,4.17
21.0,12 Aug 12:14,12 Aug 2021,12:14:31,4.86
22.0,16 Aug 10:05,16 Aug 2021,10:05:25,4.19
23.0,16 Aug 11:06,16 Aug 2021,11:06:03,4.29
24.0,16 Aug 15:15,16 Aug 2021,15:15:28,4.24
25.0,16 Aug 16:15,16 Aug 2021,16:15:54,4.05
26.0,16 Aug 17:19,16 Aug 2021,17:19:32,3.91
27.0,16 Aug 18:19,16 Aug 2021,18:19:53,3.93
28.0,16 Aug 19:20,16 Aug 2021,19:20:17,4.21
29.0,16 Aug 23:18,16 Aug 2021,23:18:09,3.95
30.0,17 Aug 00:18,17 Aug 2021,00:18:33,3.9
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,3.83
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,3.62
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,3.73
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,3.64
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,3.32
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,3.34
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,3.36
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,3.35
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,3.34
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,3.39
,03 Sep 02:17,03 Sep 2021,02:17:33,3.64
,03 09 10:54,03 Sep 2021,10:54:46,3.54
,10 Sep 17:38,10 Sep 2021,17:38:26,4.04
,10 Sep 23:30,10 Sep 2021,23:30:16,4.63
,12 Sep 18:42,12 Sep 2021,18:42:45,3.96
,12 Sep 22:00,12 Sep 2021,22:00:04,4.09
