,DateTime,Date,Time,BTX(µg/ml)
0,04 Aug 14:26,04 Aug 2021,14:26:24,0.01
1,11 Aug 16:56,11 Aug 2021,16:56:21,0.02
2,11 Aug 18:00,11 Aug 2021,18:00:02,0.01
3,12 Aug 12:14,12 Aug 2021,12:14:31,0.0
4,16 Aug 10:05,16 Aug 2021,10:05:25,0.01
5,28 Aug 10:21,28 Aug 2021,10:21:18,0.0
6,28 Aug 19:18,28 Aug 2021,19:18:38,0.01
