Unnamed: 0,DateTime,Date,Time,pH
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,7.51
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,7.54
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,7.58
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,7.56
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,7.55
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,7.54
6.0,09 Aug 19:30,09 Aug 2021,19:30:40,7.53
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,7.56
8.0,10 Aug 08:24,10 Aug 2021,08:24:01,7.52
9.0,10 Aug 09:26,10 Aug 2021,09:26:56,7.51
10.0,11 Aug 08:47,11 Aug 2021,08:47:06,7.52
11.0,11 Aug 10:20,11 Aug 2021,10:20:04,7.51
12.0,11 Aug 12:13,11 Aug 2021,12:13:36,7.54
13.0,11 Aug 16:56,11 Aug 2021,16:56:21,7.56
14.0,12 Aug 10:59,12 Aug 2021,10:59:37,7.52
15.0,16 Aug 10:05,16 Aug 2021,10:05:25,7.51
16.0,16 Aug 11:06,16 Aug 2021,11:06:03,7.49
17.0,16 Aug 15:15,16 Aug 2021,15:15:28,7.48
18.0,16 Aug 16:15,16 Aug 2021,16:15:54,7.54
19.0,16 Aug 17:19,16 Aug 2021,17:19:32,7.55
20.0,16 Aug 19:20,16 Aug 2021,19:20:17,7.52
21.0,17 Aug 00:18,17 Aug 2021,00:18:33,7.5
22.0,19 Aug 21:09,19 Aug 2021,21:09:25,7.58
23.0,23 Aug 15:16,23 Aug 2021,15:16:38,7.57
24.0,23 Aug 18:03,23 Aug 2021,18:03:46,7.55
25.0,28 Aug 10:21,28 Aug 2021,10:21:18,7.44
26.0,28 Aug 11:35,28 Aug 2021,11:35:06,7.43
27.0,28 Aug 15:26,28 Aug 2021,15:26:51,7.5
28.0,28 Aug 18:00,28 Aug 2021,18:00:08,7.47
,03 Sep 02:17,03 Sep 2021,02:17:33,7.41
,03 09 10:54,03 Sep 2021,10:54:46,7.44
,10 Sep 17:38,10 Sep 2021,17:38:26,7.49
,10 Sep 23:30,10 Sep 2021,23:30:16,7.46
,12 Sep 22:00,12 Sep 2021,22:00:04,7.5
