Unnamed: 0,DateTime,Date,Time,Conductivity(µS/cm)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,138.0
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,165.0
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,166.0
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,164.0
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,165.0
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,167.0
6.0,10 Aug 00:49,10 Aug 2021,00:49:39,168.0
7.0,10 Aug 08:24,10 Aug 2021,08:24:01,164.0
8.0,10 Aug 19:26,10 Aug 2021,19:26:33,156.0
9.0,10 Aug 21:30,10 Aug 2021,21:30:23,157.0
10.0,11 Aug 08:47,11 Aug 2021,08:47:06,155.0
11.0,11 Aug 12:13,11 Aug 2021,12:13:36,156.0
12.0,11 Aug 16:56,11 Aug 2021,16:56:21,165.0
13.0,12 Aug 10:59,12 Aug 2021,10:59:37,148.0
14.0,16 Aug 10:05,16 Aug 2021,10:05:25,152.0
15.0,16 Aug 15:15,16 Aug 2021,15:15:28,153.0
16.0,16 Aug 18:19,16 Aug 2021,18:19:53,154.0
17.0,19 Aug 21:09,19 Aug 2021,21:09:25,178.0
18.0,19 Aug 22:09,19 Aug 2021,22:09:52,179.0
19.0,23 Aug 15:16,23 Aug 2021,15:16:38,180.0
20.0,28 Aug 10:21,28 Aug 2021,10:21:18,178.0
21.0,28 Aug 18:00,28 Aug 2021,18:00:08,177.0
,03 Sep 02:17,03 Sep 2021,02:17:33,191.0
,03 09 10:54,03 Sep 2021,10:54:46,194.0
,10 Sep 17:38,10 Sep 2021,17:38:26,201.0
,10 Sep 23:30,10 Sep 2021,23:30:16,200.0
,12 Sep 17:30,12 Sep 2021,17:30:03,211.0
