Unnamed: 0,DateTime,Date,Time,COD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,127.2
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.0
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,69.45
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,29.3
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,511.06
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,57.85
6.0,09 Aug 19:30,09 Aug 2021,19:30:40,47.08
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,282.33
8.0,10 Aug 08:24,10 Aug 2021,08:24:01,27.97
9.0,10 Aug 09:26,10 Aug 2021,09:26:56,62.32
10.0,10 Aug 10:27,10 Aug 2021,10:27:28,65.35
11.0,10 Aug 19:26,10 Aug 2021,19:26:33,53.46
12.0,10 Aug 20:27,10 Aug 2021,20:27:03,104.12
13.0,10 Aug 21:30,10 Aug 2021,21:30:23,13.74
14.0,11 Aug 08:47,11 Aug 2021,08:47:06,0.0
15.0,11 Aug 16:56,11 Aug 2021,16:56:21,47.29
16.0,11 Aug 18:00,11 Aug 2021,18:00:02,47.61
17.0,12 Aug 10:59,12 Aug 2021,10:59:37,11.82
18.0,12 Aug 12:14,12 Aug 2021,12:14:31,48.99
19.0,16 Aug 10:05,16 Aug 2021,10:05:25,8.5
20.0,16 Aug 15:15,16 Aug 2021,15:15:28,54.33
21.0,16 Aug 17:19,16 Aug 2021,17:19:32,56.25
22.0,16 Aug 19:20,16 Aug 2021,19:20:17,64.2
23.0,16 Aug 23:18,16 Aug 2021,23:18:09,65.5
24.0,17 Aug 00:18,17 Aug 2021,00:18:33,52.71
25.0,19 Aug 21:09,19 Aug 2021,21:09:25,86.64
26.0,19 Aug 22:09,19 Aug 2021,22:09:52,28.11
27.0,23 Aug 15:16,23 Aug 2021,15:16:38,52.32
28.0,23 Aug 18:03,23 Aug 2021,18:03:46,52.61
29.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.0
,03 Sep 02:17,03 Sep 2021,02:17:33,154.31
,03 09 10:54,03 Sep 2021,10:54:46,0.0
,10 Sep 17:38,10 Sep 2021,17:38:26,42.43
,10 Sep 23:30,10 Sep 2021,23:30:16,36.49
,12 Sep 17:30,12 Sep 2021,17:30:03,44.67
,12 Sep 18:42,12 Sep 2021,18:42:45,43.78
,12 Sep 21:12,12 Sep 2021,21:12:54,40.26
,12 Sep 22:53,12 Sep 2021,22:53:57,40.71
