Unnamed: 0,DateTime,Date,Time,Nitrate(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,1.07
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.58
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,0.55
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,0.47
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.48
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,0.58
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,0.6
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,0.65
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,0.67
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,0.5
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,0.53
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,0.51
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.61
13.0,11 Aug 08:47,11 Aug 2021,08:47:06,0.74
14.0,11 Aug 10:20,11 Aug 2021,10:20:04,0.76
15.0,11 Aug 12:13,11 Aug 2021,12:13:36,0.61
16.0,11 Aug 16:56,11 Aug 2021,16:56:21,0.65
17.0,11 Aug 18:00,11 Aug 2021,18:00:02,0.6
18.0,12 Aug 10:59,12 Aug 2021,10:59:37,1.04
19.0,12 Aug 12:14,12 Aug 2021,12:14:31,1.05
20.0,16 Aug 10:05,16 Aug 2021,10:05:25,1.04
21.0,16 Aug 15:15,16 Aug 2021,15:15:28,1.1
22.0,16 Aug 16:15,16 Aug 2021,16:15:54,1.05
23.0,16 Aug 17:19,16 Aug 2021,17:19:32,1.04
24.0,16 Aug 18:19,16 Aug 2021,18:19:53,0.0
25.0,16 Aug 19:20,16 Aug 2021,19:20:17,1.26
26.0,16 Aug 23:18,16 Aug 2021,23:18:09,1.21
27.0,19 Aug 21:09,19 Aug 2021,21:09:25,1.25
28.0,19 Aug 22:09,19 Aug 2021,22:09:52,1.21
29.0,23 Aug 15:16,23 Aug 2021,15:16:38,1.39
30.0,23 Aug 18:03,23 Aug 2021,18:03:46,1.43
31.0,28 Aug 10:21,28 Aug 2021,10:21:18,1.24
32.0,28 Aug 11:35,28 Aug 2021,11:35:06,1.3
33.0,28 Aug 12:45,28 Aug 2021,12:45:39,1.27
34.0,28 Aug 15:26,28 Aug 2021,15:26:51,1.31
35.0,28 Aug 19:18,28 Aug 2021,19:18:38,1.26
,03 Sep 02:17,03 Sep 2021,02:17:33,1.14
,10 Sep 17:38,10 Sep 2021,17:38:26,1.15
,12 Sep 17:30,12 Sep 2021,17:30:03,1.25
,12 Sep 18:42,12 Sep 2021,18:42:45,1.34
,12 Sep 21:12,12 Sep 2021,21:12:54,1.22
,12 Sep 22:53,12 Sep 2021,22:53:57,0.68
