Unnamed: 0,DateTime,Date,Time,Potassium(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,13.1
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,14.3
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,13.4
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,13.6
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,13.0
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,13.4
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,12.9
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,12.7
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,13.4
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,11.5
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,9.8
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,12.9
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,9.6
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,11.7
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,12.2
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,12.3
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,12.1
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,12.5
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,14.1
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,14.3
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,13.3
21.0,16 Aug 10:05,16 Aug 2021,10:05:25,8.5
22.0,16 Aug 11:06,16 Aug 2021,11:06:03,8.6
23.0,16 Aug 15:15,16 Aug 2021,15:15:28,8.3
24.0,16 Aug 17:19,16 Aug 2021,17:19:32,8.6
25.0,19 Aug 21:09,19 Aug 2021,21:09:25,11.3
26.0,23 Aug 15:16,23 Aug 2021,15:16:38,14.4
27.0,23 Aug 18:03,23 Aug 2021,18:03:46,16.1
28.0,28 Aug 10:21,28 Aug 2021,10:21:18,16.7
29.0,28 Aug 12:45,28 Aug 2021,12:45:39,22.2
30.0,28 Aug 15:26,28 Aug 2021,15:26:51,16.4
31.0,28 Aug 18:00,28 Aug 2021,18:00:08,20.0
32.0,28 Aug 19:18,28 Aug 2021,19:18:38,16.8
,03 Sep 02:17,03 Sep 2021,02:17:33,14.9
,03 09 10:54,03 Sep 2021,10:54:46,22.3
,10 Sep 17:38,10 Sep 2021,17:38:26,16.0
,10 Sep 23:30,10 Sep 2021,23:30:16,22.9
,12 Sep 17:30,12 Sep 2021,17:30:03,21.6
,12 Sep 18:42,12 Sep 2021,18:42:45,22.2
,12 Sep 21:12,12 Sep 2021,21:12:54,21.3
