Unnamed: 0,DateTime,Date,Time,Chloride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,9999.0
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.0
2.0,10 Aug 08:24,10 Aug 2021,08:24:01,1201.3
3.0,10 Aug 09:26,10 Aug 2021,09:26:56,0.0
4.0,10 Aug 19:26,10 Aug 2021,19:26:33,1347.2
5.0,10 Aug 20:27,10 Aug 2021,20:27:03,1314.7
6.0,10 Aug 21:30,10 Aug 2021,21:30:23,1356.6
7.0,11 Aug 08:47,11 Aug 2021,08:47:06,1506.0
8.0,11 Aug 10:20,11 Aug 2021,10:20:04,1611.5
9.0,11 Aug 12:13,11 Aug 2021,12:13:36,1712.8
10.0,11 Aug 16:56,11 Aug 2021,16:56:21,0.0
11.0,16 Aug 10:05,16 Aug 2021,10:05:25,3907.3
12.0,16 Aug 11:06,16 Aug 2021,11:06:03,0.0
13.0,16 Aug 15:15,16 Aug 2021,15:15:28,0.4
14.0,16 Aug 17:19,16 Aug 2021,17:19:32,67.8
15.0,16 Aug 18:19,16 Aug 2021,18:19:53,0.4
16.0,19 Aug 21:09,19 Aug 2021,21:09:25,79.7
17.0,19 Aug 22:09,19 Aug 2021,22:09:52,9999.0
,03 Sep 02:17,03 Sep 2021,02:17:33,147.6
,03 09 10:54,03 Sep 2021,10:54:46,159.9
,10 Sep 17:38,10 Sep 2021,17:38:26,0.0
,12 Sep 17:30,12 Sep 2021,17:30:03,141.2
,12 Sep 18:42,12 Sep 2021,18:42:45,135.1
,12 Sep 21:12,12 Sep 2021,21:12:54,139.7
,12 Sep 22:53,12 Sep 2021,22:53:57,149.5
