Unnamed: 0,DateTime,Date,Time,BOD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,3.16
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,2.85
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,2.84
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,2.86
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,2.82
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,2.81
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,2.97
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,3.03
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,2.83
9.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.0
10.0,12 Aug 12:14,12 Aug 2021,12:14:31,2.87
11.0,16 Aug 10:05,16 Aug 2021,10:05:25,2.98
12.0,16 Aug 11:06,16 Aug 2021,11:06:03,2.95
13.0,16 Aug 15:15,16 Aug 2021,15:15:28,2.64
14.0,16 Aug 16:15,16 Aug 2021,16:15:54,2.65
15.0,16 Aug 17:19,16 Aug 2021,17:19:32,2.69
16.0,16 Aug 19:20,16 Aug 2021,19:20:17,2.67
17.0,16 Aug 23:18,16 Aug 2021,23:18:09,2.71
18.0,19 Aug 21:09,19 Aug 2021,21:09:25,2.73
19.0,19 Aug 22:09,19 Aug 2021,22:09:52,2.78
20.0,23 Aug 15:16,23 Aug 2021,15:16:38,2.91
21.0,23 Aug 18:03,23 Aug 2021,18:03:46,2.98
22.0,28 Aug 10:21,28 Aug 2021,10:21:18,2.26
23.0,28 Aug 11:35,28 Aug 2021,11:35:06,2.21
24.0,28 Aug 12:45,28 Aug 2021,12:45:39,2.18
25.0,28 Aug 15:26,28 Aug 2021,15:26:51,2.19
26.0,28 Aug 19:18,28 Aug 2021,19:18:38,2.21
,03 Sep 02:17,03 Sep 2021,02:17:33,2.33
,03 09 10:54,03 Sep 2021,10:54:46,2.28
,10 Sep 17:38,10 Sep 2021,17:38:26,2.39
,10 Sep 23:30,10 Sep 2021,23:30:16,2.29
,12 Sep 17:30,12 Sep 2021,17:30:03,2.37
,12 Sep 18:42,12 Sep 2021,18:42:45,2.36
,12 Sep 21:12,12 Sep 2021,21:12:54,2.34
,12 Sep 22:53,12 Sep 2021,22:53:57,2.39
