Unnamed: 0,DateTime,Date,Time,TOC(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,4.3
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,3.48
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,3.51
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,3.53
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,3.45
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,3.46
6.0,09 Aug 19:30,09 Aug 2021,19:30:40,3.44
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,3.43
8.0,10 Aug 08:24,10 Aug 2021,08:24:01,3.5
9.0,10 Aug 09:26,10 Aug 2021,09:26:56,3.51
10.0,10 Aug 10:27,10 Aug 2021,10:27:28,3.54
11.0,10 Aug 20:27,10 Aug 2021,20:27:03,3.55
12.0,10 Aug 21:30,10 Aug 2021,21:30:23,3.56
13.0,11 Aug 08:47,11 Aug 2021,08:47:06,3.53
14.0,11 Aug 10:20,11 Aug 2021,10:20:04,3.55
15.0,11 Aug 12:13,11 Aug 2021,12:13:36,3.54
16.0,12 Aug 10:59,12 Aug 2021,10:59:37,4.04
17.0,12 Aug 12:14,12 Aug 2021,12:14:31,4.06
18.0,16 Aug 10:05,16 Aug 2021,10:05:25,3.75
19.0,16 Aug 16:15,16 Aug 2021,16:15:54,3.77
20.0,16 Aug 17:19,16 Aug 2021,17:19:32,3.79
21.0,16 Aug 18:19,16 Aug 2021,18:19:53,0.0
22.0,16 Aug 19:20,16 Aug 2021,19:20:17,3.75
23.0,16 Aug 23:18,16 Aug 2021,23:18:09,3.73
24.0,19 Aug 21:09,19 Aug 2021,21:09:25,3.8
25.0,19 Aug 22:09,19 Aug 2021,22:09:52,3.79
26.0,23 Aug 15:16,23 Aug 2021,15:16:38,3.75
27.0,23 Aug 18:03,23 Aug 2021,18:03:46,3.72
28.0,28 Aug 10:21,28 Aug 2021,10:21:18,3.8
29.0,28 Aug 11:35,28 Aug 2021,11:35:06,3.77
30.0,28 Aug 12:45,28 Aug 2021,12:45:39,3.78
31.0,28 Aug 15:26,28 Aug 2021,15:26:51,3.76
32.0,28 Aug 18:00,28 Aug 2021,18:00:08,3.75
33.0,28 Aug 19:18,28 Aug 2021,19:18:38,3.74
,03 Sep 02:17,03 Sep 2021,02:17:33,3.88
,10 Sep 17:38,10 Sep 2021,17:38:26,3.73
,12 Sep 17:30,12 Sep 2021,17:30:03,3.7
,12 Sep 18:42,12 Sep 2021,18:42:45,3.66
,12 Sep 21:12,12 Sep 2021,21:12:54,3.74
,12 Sep 22:53,12 Sep 2021,22:53:57,3.43
