Unnamed: 0,DateTime,Date,Time,TOC(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,7.73
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,8.75
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,0.0
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,7.67
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,7.68
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,7.65
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,8.58
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,8.29
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,7.99
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,7.72
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,7.74
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,7.73
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,7.71
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,7.72
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,7.73
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,6.93
16.0,11 Aug 16:56,11 Aug 2021,16:56:21,7.83
17.0,11 Aug 18:00,11 Aug 2021,18:00:02,7.82
18.0,12 Aug 10:59,12 Aug 2021,10:59:37,7.54
19.0,12 Aug 12:14,12 Aug 2021,12:14:31,7.5
20.0,16 Aug 10:05,16 Aug 2021,10:05:25,7.48
21.0,16 Aug 15:15,16 Aug 2021,15:15:28,7.58
22.0,16 Aug 16:15,16 Aug 2021,16:15:54,7.53
23.0,16 Aug 17:19,16 Aug 2021,17:19:32,7.48
24.0,16 Aug 19:20,16 Aug 2021,19:20:17,7.45
25.0,16 Aug 23:18,16 Aug 2021,23:18:09,7.42
26.0,19 Aug 21:09,19 Aug 2021,21:09:25,7.84
27.0,23 Aug 15:16,23 Aug 2021,15:16:38,0.0
28.0,28 Aug 10:21,28 Aug 2021,10:21:18,7.85
29.0,28 Aug 11:35,28 Aug 2021,11:35:06,7.86
30.0,28 Aug 15:26,28 Aug 2021,15:26:51,8.11
31.0,28 Aug 18:00,28 Aug 2021,18:00:08,8.74
32.0,28 Aug 19:18,28 Aug 2021,19:18:38,7.15
,03 Sep 02:17,03 Sep 2021,02:17:33,7.11
,03 09 10:54,03 Sep 2021,10:54:46,7.12
,10 Sep 17:38,10 Sep 2021,17:38:26,7.2
,10 Sep 23:30,10 Sep 2021,23:30:16,7.41
,12 Sep 17:30,12 Sep 2021,17:30:03,7.33
,12 Sep 18:42,12 Sep 2021,18:42:45,7.31
,12 Sep 21:12,12 Sep 2021,21:12:54,7.51
,12 Sep 22:53,12 Sep 2021,22:53:57,7.49
