Unnamed: 0,DateTime,Date,Time,Floride(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.12
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.11
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,0.1
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,0.09
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,0.1
5.0,10 Aug 00:49,10 Aug 2021,00:49:39,0.11
6.0,10 Aug 09:26,10 Aug 2021,09:26:56,0.12
7.0,10 Aug 10:27,10 Aug 2021,10:27:28,0.0
8.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.08
9.0,11 Aug 08:47,11 Aug 2021,08:47:06,0.1
10.0,11 Aug 16:56,11 Aug 2021,16:56:21,0.09
11.0,11 Aug 18:00,11 Aug 2021,18:00:02,0.08
12.0,12 Aug 10:59,12 Aug 2021,10:59:37,0.14
13.0,12 Aug 12:14,12 Aug 2021,12:14:31,0.07
14.0,16 Aug 10:05,16 Aug 2021,10:05:25,0.05
15.0,23 Aug 15:16,23 Aug 2021,15:16:38,0.06
16.0,28 Aug 10:21,28 Aug 2021,10:21:18,0.07
,03 Sep 02:17,03 Sep 2021,02:17:33,0.06
,10 Sep 17:38,10 Sep 2021,17:38:26,0.08
,12 Sep 17:30,12 Sep 2021,17:30:03,0.09
,12 Sep 21:12,12 Sep 2021,21:12:54,0.08
