Unnamed: 0,DateTime,Date,Time,Potassium(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,3.6
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,3.5
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,3.6
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,3.8
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,3.7
5.0,10 Aug 00:49,10 Aug 2021,00:49:39,3.6
6.0,10 Aug 19:26,10 Aug 2021,19:26:33,3.7
7.0,11 Aug 12:13,11 Aug 2021,12:13:36,3.8
8.0,11 Aug 16:56,11 Aug 2021,16:56:21,4.0
9.0,11 Aug 18:00,11 Aug 2021,18:00:02,3.9
10.0,12 Aug 10:59,12 Aug 2021,10:59:37,3.8
11.0,16 Aug 10:05,16 Aug 2021,10:05:25,3.9
12.0,16 Aug 16:15,16 Aug 2021,16:15:54,3.8
13.0,16 Aug 19:20,16 Aug 2021,19:20:17,3.9
14.0,19 Aug 21:09,19 Aug 2021,21:09:25,3.5
15.0,28 Aug 11:35,28 Aug 2021,11:35:06,3.6
16.0,28 Aug 19:18,28 Aug 2021,19:18:38,3.7
,03 Sep 02:17,03 Sep 2021,02:17:33,3.9
,03 09 10:54,03 Sep 2021,10:54:46,3.8
,10 Sep 23:30,10 Sep 2021,23:30:16,3.7
,12 Sep 22:00,12 Sep 2021,22:00:04,3.8
