Unnamed: 0,DateTime,Date,Time,Potassium(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,16.3
1.0,16 Aug 15:15,16 Aug 2021,15:15:28,1.1
2.0,16 Aug 17:19,16 Aug 2021,17:19:32,7.0
3.0,16 Aug 19:20,16 Aug 2021,19:20:17,6.1
4.0,16 Aug 23:18,16 Aug 2021,23:18:09,5.2
5.0,17 Aug 00:18,17 Aug 2021,00:18:33,5.7
6.0,19 Aug 21:09,19 Aug 2021,21:09:25,4.8
7.0,19 Aug 22:09,19 Aug 2021,22:09:52,5.0
8.0,23 Aug 15:16,23 Aug 2021,15:16:38,6.0
9.0,28 Aug 10:21,28 Aug 2021,10:21:18,5.3
10.0,28 Aug 12:45,28 Aug 2021,12:45:39,4.6
11.0,28 Aug 15:26,28 Aug 2021,15:26:51,5.2
,03 Sep 02:17,03 Sep 2021,02:17:33,5.4
,10 Sep 17:38,10 Sep 2021,17:38:26,6.0
,10 Sep 23:30,10 Sep 2021,23:30:16,5.4
,12 Sep 17:30,12 Sep 2021,17:30:03,5.9
,12 Sep 18:42,12 Sep 2021,18:42:45,5.8
,12 Sep 21:12,12 Sep 2021,21:12:54,4.9
