Frequency Of Monitoring,Sampling Month,Date,Time,Total Coliform
FORTNIGHTLY,Aug-2021,10 Sep 2021,10 Sep 17:11,130000
FORTNIGHTLY,Aug-2021,12 Sep 2021,12 Sep 21:59,33000
