Frequency Of Monitoring,Sampling Month,Date,Time,Total Coliform
FORTNIGHTLY,Aug-2021,10 Sep 2021,10 Sep 16:44,240000
FORTNIGHTLY,Aug-2021,12 Sep 2021,12 Sep 16:50,130000
