Unnamed: 0,DateTime,Date,Time,BOD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,17.96
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,17.33
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,17.4
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,17.38
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,17.34
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,17.38
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,17.37
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,17.35
8.0,10 Aug 00:49,10 Aug 2021,00:49:39,17.28
9.0,10 Aug 08:24,10 Aug 2021,08:24:01,17.06
10.0,10 Aug 09:26,10 Aug 2021,09:26:56,17.49
11.0,10 Aug 10:27,10 Aug 2021,10:27:28,17.47
12.0,10 Aug 19:26,10 Aug 2021,19:26:33,17.35
13.0,10 Aug 20:27,10 Aug 2021,20:27:03,17.25
14.0,10 Aug 21:30,10 Aug 2021,21:30:23,17.22
15.0,11 Aug 08:47,11 Aug 2021,08:47:06,18.17
16.0,11 Aug 10:20,11 Aug 2021,10:20:04,18.55
17.0,11 Aug 12:13,11 Aug 2021,12:13:36,18.59
18.0,11 Aug 16:56,11 Aug 2021,16:56:21,19.59
19.0,11 Aug 18:00,11 Aug 2021,18:00:02,0.0
20.0,12 Aug 10:59,12 Aug 2021,10:59:37,16.59
21.0,16 Aug 10:05,16 Aug 2021,10:05:25,17.95
22.0,16 Aug 23:18,16 Aug 2021,23:18:09,17.94
23.0,19 Aug 21:09,19 Aug 2021,21:09:25,17.84
24.0,23 Aug 15:16,23 Aug 2021,15:16:38,17.83
25.0,23 Aug 18:03,23 Aug 2021,18:03:46,17.8
26.0,28 Aug 10:21,28 Aug 2021,10:21:18,17.89
27.0,28 Aug 11:35,28 Aug 2021,11:35:06,17.87
28.0,28 Aug 12:45,28 Aug 2021,12:45:39,17.88
29.0,28 Aug 18:00,28 Aug 2021,18:00:08,17.87
30.0,28 Aug 19:18,28 Aug 2021,19:18:38,17.88
,03 Sep 02:17,03 Sep 2021,02:17:33,17.87
,03 09 10:54,03 Sep 2021,10:54:46,17.86
,10 Sep 17:38,10 Sep 2021,17:38:26,17.87
,10 Sep 23:30,10 Sep 2021,23:30:16,17.84
,12 Sep 18:42,12 Sep 2021,18:42:45,17.82
,12 Sep 21:12,12 Sep 2021,21:12:54,17.8
