Unnamed: 0,DateTime,Date,Time,Conductivity(µS/cm)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,225.0
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,218.0
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,217.0
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,216.0
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,217.0
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,216.0
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,214.0
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,213.0
8.0,10 Aug 19:26,10 Aug 2021,19:26:33,200.0
9.0,11 Aug 08:47,11 Aug 2021,08:47:06,197.0
10.0,11 Aug 12:13,11 Aug 2021,12:13:36,196.0
11.0,11 Aug 16:56,11 Aug 2021,16:56:21,194.0
12.0,12 Aug 10:59,12 Aug 2021,10:59:37,196.0
13.0,16 Aug 10:05,16 Aug 2021,10:05:25,197.0
14.0,16 Aug 15:15,16 Aug 2021,15:15:28,198.0
15.0,16 Aug 16:15,16 Aug 2021,16:15:54,199.0
16.0,19 Aug 21:09,19 Aug 2021,21:09:25,217.0
17.0,23 Aug 15:16,23 Aug 2021,15:16:38,254.0
18.0,23 Aug 18:03,23 Aug 2021,18:03:46,255.0
19.0,28 Aug 10:21,28 Aug 2021,10:21:18,217.0
20.0,28 Aug 11:35,28 Aug 2021,11:35:06,216.0
21.0,28 Aug 19:18,28 Aug 2021,19:18:38,217.0
,03 Sep 02:17,03 Sep 2021,02:17:33,237.0
,03 09 10:54,03 Sep 2021,10:54:46,239.0
,10 Sep 17:38,10 Sep 2021,17:38:26,292.0
,10 Sep 23:30,10 Sep 2021,23:30:16,287.0
,12 Sep 17:30,12 Sep 2021,17:30:03,244.0
,12 Sep 21:12,12 Sep 2021,21:12:54,242.0
,12 Sep 22:53,12 Sep 2021,22:53:57,241.0
