Unnamed: 0,DateTime,Date,Time,Water Level(cm.)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,25.26
1.0,09 Aug 15:16,09 Aug 2021,15:16:19,25.31
2.0,10 Aug 09:26,10 Aug 2021,09:26:56,25.32
3.0,10 Aug 19:26,10 Aug 2021,19:26:33,25.33
4.0,11 Aug 08:47,11 Aug 2021,08:47:06,25.34
5.0,11 Aug 16:56,11 Aug 2021,16:56:21,25.35
6.0,12 Aug 10:59,12 Aug 2021,10:59:37,25.36
7.0,16 Aug 10:05,16 Aug 2021,10:05:25,25.38
8.0,16 Aug 23:18,16 Aug 2021,23:18:09,25.37
9.0,19 Aug 21:09,19 Aug 2021,21:09:25,25.25
10.0,19 Aug 22:09,19 Aug 2021,22:09:52,25.24
11.0,23 Aug 15:16,23 Aug 2021,15:16:38,25.19
12.0,28 Aug 10:21,28 Aug 2021,10:21:18,25.18
13.0,28 Aug 15:26,28 Aug 2021,15:26:51,25.19
,03 Sep 02:17,03 Sep 2021,02:17:33,25.22
,10 Sep 17:38,10 Sep 2021,17:38:26,25.14
,12 Sep 17:30,12 Sep 2021,17:30:03,25.13
