Unnamed: 0,DateTime,Date,Time,"Color(Pt.Scale,Hz units)"
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,227.82
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,242.56
2.0,09 Aug 15:16,09 Aug 2021,15:16:19,217.36
3.0,09 Aug 16:29,09 Aug 2021,16:29:24,214.01
4.0,09 Aug 17:29,09 Aug 2021,17:29:51,213.04
5.0,09 Aug 18:30,09 Aug 2021,18:30:16,214.99
6.0,09 Aug 19:30,09 Aug 2021,19:30:40,217.88
7.0,10 Aug 00:49,10 Aug 2021,00:49:39,216.36
8.0,10 Aug 09:26,10 Aug 2021,09:26:56,221.23
9.0,10 Aug 10:27,10 Aug 2021,10:27:28,222.84
10.0,10 Aug 19:26,10 Aug 2021,19:26:33,0.0
11.0,11 Aug 08:47,11 Aug 2021,08:47:06,219.27
12.0,11 Aug 10:20,11 Aug 2021,10:20:04,218.73
13.0,11 Aug 12:13,11 Aug 2021,12:13:36,220.1
14.0,11 Aug 16:56,11 Aug 2021,16:56:21,222.78
15.0,11 Aug 18:00,11 Aug 2021,18:00:02,223.55
16.0,12 Aug 10:59,12 Aug 2021,10:59:37,225.55
17.0,12 Aug 12:14,12 Aug 2021,12:14:31,227.23
18.0,16 Aug 10:05,16 Aug 2021,10:05:25,246.55
19.0,16 Aug 11:06,16 Aug 2021,11:06:03,259.2
20.0,16 Aug 15:15,16 Aug 2021,15:15:28,251.6
21.0,16 Aug 16:15,16 Aug 2021,16:15:54,250.41
22.0,16 Aug 17:19,16 Aug 2021,17:19:32,250.73
23.0,16 Aug 18:19,16 Aug 2021,18:19:53,254.6
24.0,16 Aug 19:20,16 Aug 2021,19:20:17,250.91
25.0,16 Aug 23:18,16 Aug 2021,23:18:09,253.28
26.0,19 Aug 21:09,19 Aug 2021,21:09:25,241.66
27.0,19 Aug 22:09,19 Aug 2021,22:09:52,221.57
28.0,23 Aug 15:16,23 Aug 2021,15:16:38,231.4
29.0,23 Aug 18:03,23 Aug 2021,18:03:46,213.79
30.0,28 Aug 10:21,28 Aug 2021,10:21:18,207.89
31.0,28 Aug 11:35,28 Aug 2021,11:35:06,209.66
32.0,28 Aug 12:45,28 Aug 2021,12:45:39,264.1
33.0,28 Aug 15:26,28 Aug 2021,15:26:51,282.4
34.0,28 Aug 18:00,28 Aug 2021,18:00:08,199.17
35.0,28 Aug 19:18,28 Aug 2021,19:18:38,204.07
,03 Sep 02:17,03 Sep 2021,02:17:33,216.02
,03 09 10:54,03 Sep 2021,10:54:46,217.85
,10 Sep 17:38,10 Sep 2021,17:38:26,197.42
,10 Sep 23:30,10 Sep 2021,23:30:16,195.19
,12 Sep 17:30,12 Sep 2021,17:30:03,198.71
,12 Sep 18:42,12 Sep 2021,18:42:45,200.6
,12 Sep 22:00,12 Sep 2021,22:00:04,197.4
,12 Sep 22:53,12 Sep 2021,22:53:57,197.24
