Unnamed: 0,DateTime,Date,Time,BOD(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,2.1
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,4.54
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,3.02
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,3.37
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,2.75
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,2.59
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,5.04
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,3.38
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,4.02
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,4.14
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,3.73
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,2.99
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,4.73
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,3.54
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,3.75
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,3.61
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,2.85
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,2.95
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,2.83
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,3.09
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,3.22
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,3.62
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,3.49
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,3.36
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,2.8
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,2.73
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,2.58
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,2.59
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,2.64
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,2.84
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,2.67
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,2.52
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,2.81
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,3.04
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,3.16
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,2.94
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,2.71
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,2.84
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,2.9
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,2.86
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,2.97
,03 Sep 02:17,03 Sep 2021,02:17:33,2.34
,03 09 10:54,03 Sep 2021,10:54:46,2.44
,10 Sep 17:38,10 Sep 2021,17:38:26,2.81
,10 Sep 23:30,10 Sep 2021,23:30:16,2.9
,12 Sep 17:30,12 Sep 2021,17:30:03,3.16
,12 Sep 18:42,12 Sep 2021,18:42:45,2.84
,12 Sep 21:12,12 Sep 2021,21:12:54,2.85
,12 Sep 22:53,12 Sep 2021,22:53:57,2.88
