Unnamed: 0,DateTime,Date,Time,Nitrate(mg/l)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,0.99
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,0.0
2.0,19 Aug 21:09,19 Aug 2021,21:09:25,1.21
3.0,23 Aug 15:16,23 Aug 2021,15:16:38,1.19
,03 Sep 02:17,03 Sep 2021,02:17:33,1.24
,03 09 10:54,03 Sep 2021,10:54:46,1.19
,10 Sep 17:38,10 Sep 2021,17:38:26,1.26
,10 Sep 23:30,10 Sep 2021,23:30:16,1.28
,12 Sep 17:30,12 Sep 2021,17:30:03,1.31
,12 Sep 18:42,12 Sep 2021,18:42:45,1.3
,12 Sep 21:12,12 Sep 2021,21:12:54,1.28
,12 Sep 22:53,12 Sep 2021,22:53:57,1.33
