Unnamed: 0,DateTime,Date,Time,Conductivity(µS/cm)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,185.0
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,170.0
2.0,09 Aug 13:57,09 Aug 2021,13:57:19,172.0
3.0,09 Aug 15:16,09 Aug 2021,15:16:19,175.0
4.0,09 Aug 16:29,09 Aug 2021,16:29:24,176.0
5.0,09 Aug 17:29,09 Aug 2021,17:29:51,177.0
6.0,09 Aug 18:30,09 Aug 2021,18:30:16,178.0
7.0,09 Aug 19:30,09 Aug 2021,19:30:40,179.0
8.0,10 Aug 08:24,10 Aug 2021,08:24:01,175.0
9.0,10 Aug 19:26,10 Aug 2021,19:26:33,181.0
10.0,11 Aug 08:47,11 Aug 2021,08:47:06,170.0
11.0,11 Aug 16:56,11 Aug 2021,16:56:21,172.0
12.0,12 Aug 10:59,12 Aug 2021,10:59:37,174.0
13.0,16 Aug 10:05,16 Aug 2021,10:05:25,191.0
14.0,16 Aug 15:15,16 Aug 2021,15:15:28,192.0
15.0,16 Aug 18:19,16 Aug 2021,18:19:53,193.0
16.0,16 Aug 23:18,16 Aug 2021,23:18:09,195.0
17.0,23 Aug 15:16,23 Aug 2021,15:16:38,192.0
18.0,28 Aug 10:21,28 Aug 2021,10:21:18,190.0
,03 Sep 02:17,03 Sep 2021,02:17:33,210.0
,10 Sep 17:38,10 Sep 2021,17:38:26,187.0
,12 Sep 17:30,12 Sep 2021,17:30:03,186.0
,12 Sep 18:42,12 Sep 2021,18:42:45,185.0
,12 Sep 21:12,12 Sep 2021,21:12:54,184.0
