Unnamed: 0,DateTime,Date,Time,Water Level(cm.)
0.0,04 Aug 14:26,04 Aug 2021,14:26:24,175.9
1.0,09 Aug 11:41,09 Aug 2021,11:41:48,235.83
2.0,09 Aug 12:57,09 Aug 2021,12:57:04,234.69
3.0,09 Aug 13:57,09 Aug 2021,13:57:19,320.14
4.0,09 Aug 15:16,09 Aug 2021,15:16:19,402.96
5.0,09 Aug 16:29,09 Aug 2021,16:29:24,403.34
6.0,09 Aug 17:29,09 Aug 2021,17:29:51,348.75
7.0,09 Aug 18:30,09 Aug 2021,18:30:16,302.59
8.0,09 Aug 19:30,09 Aug 2021,19:30:40,265.97
9.0,10 Aug 00:49,10 Aug 2021,00:49:39,232.4
10.0,10 Aug 08:24,10 Aug 2021,08:24:01,244.22
11.0,10 Aug 09:26,10 Aug 2021,09:26:56,235.07
12.0,10 Aug 10:27,10 Aug 2021,10:27:28,232.78
13.0,10 Aug 19:26,10 Aug 2021,19:26:33,293.05
14.0,10 Aug 20:27,10 Aug 2021,20:27:03,262.15
15.0,10 Aug 21:30,10 Aug 2021,21:30:23,241.17
16.0,11 Aug 08:47,11 Aug 2021,08:47:06,264.06
17.0,11 Aug 10:20,11 Aug 2021,10:20:04,235.07
18.0,11 Aug 12:13,11 Aug 2021,12:13:36,232.78
19.0,11 Aug 16:56,11 Aug 2021,16:56:21,401.43
20.0,11 Aug 18:00,11 Aug 2021,18:00:02,402.58
21.0,12 Aug 10:59,12 Aug 2021,10:59:37,235.83
22.0,12 Aug 12:14,12 Aug 2021,12:14:31,236.59
23.0,16 Aug 10:05,16 Aug 2021,10:05:25,236.21
24.0,16 Aug 11:06,16 Aug 2021,11:06:03,203.41
25.0,16 Aug 15:15,16 Aug 2021,15:15:28,176.66
26.0,16 Aug 16:15,16 Aug 2021,16:15:54,177.43
27.0,16 Aug 17:19,16 Aug 2021,17:19:32,173.61
28.0,16 Aug 18:19,16 Aug 2021,18:19:53,204.17
29.0,16 Aug 19:20,16 Aug 2021,19:20:17,263.3
30.0,16 Aug 23:18,16 Aug 2021,23:18:09,204.17
31.0,19 Aug 21:09,19 Aug 2021,21:09:25,185.44
32.0,19 Aug 22:09,19 Aug 2021,22:09:52,186.58
33.0,23 Aug 15:16,23 Aug 2021,15:16:38,338.07
34.0,23 Aug 18:03,23 Aug 2021,18:03:46,258.72
35.0,28 Aug 10:21,28 Aug 2021,10:21:18,183.91
36.0,28 Aug 11:35,28 Aug 2021,11:35:06,180.1
37.0,28 Aug 12:45,28 Aug 2021,12:45:39,180.86
38.0,28 Aug 15:26,28 Aug 2021,15:26:51,182.39
39.0,28 Aug 18:00,28 Aug 2021,18:00:08,299.92
40.0,28 Aug 19:18,28 Aug 2021,19:18:38,284.66
,03 Sep 02:17,03 Sep 2021,02:17:33,176.28
,03 09 10:54,03 Sep 2021,10:54:46,178.19
,10 Sep 17:38,10 Sep 2021,17:38:26,322.05
,10 Sep 23:30,10 Sep 2021,23:30:16,152.63
,12 Sep 18:42,12 Sep 2021,18:42:45,312.89
,12 Sep 22:00,12 Sep 2021,22:00:04,192.69
,12 Sep 22:53,12 Sep 2021,22:53:57,165.22
